 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-01646-7502,1512-R1,3,1,262,2005,241417,6718284.775,27.82854884,32530642.07,134.7487628
1-01646-7502,1512-R2,3,2,215,2005,184939,5146583.994,27.82854884,24920301.44,134.7487628
1-01661-7501,1403-R1,3,1,22,2003,20200,566081.5054,28.0238369,2741649.103,135.7252031
1-01674-7501,1471-R1,3,2,233,2003,315656,8784248.413,27.82854884,42534255.47,134.7487628
1-01676-7501,342-R1,3,0,12,1900,6092,117184.9451,19.23587411,523465.7446,85.9267473
1-01677-7503,574-R1,3,1,36,1929,33280,654143.142,19.65574345,2924634.017,87.87962792
1-01680-7501,458-R1,3,1,33,1926,31857,595688.6891,18.69883194,2675155.471,83.97386668
1-01681-7501,1573-R1,3,1,31,2006,32483,1268708.424,39.05761241,6375259.831,196.2645024
1-01683-7501,1479-R1,3,1,20,2004,19768,575207.7073,29.09792125,2798829.448,141.583845
1-01807-7501,1732-R1,3,1,12,2006,9745,236172.4966,24.2352485,1056210.601,108.3848744
1-02066-7501,561-R1,3,0,38,1926,25050,488218.2022,19.48974859,2176924.85,86.90318761
1-02079-7501,1490-R1,3,1,12,2005,12000,433539.4978,36.12829148,2179414.772,181.6178977
1-02090-7501,1832-R1,3,1,54,1908,30886,404423.278,13.09406456,1483790.103,48.04086326
1-02094-7501,1673-R1,3,1,50,1913,86020,1385891.026,16.11126512,5627557.498,65.42150079
1-02095-7501,1710-R1,3,1,50,2005,9672,1246625.25,128.890121,6261458.641,647.3799257
1-02096-7501,1680-R1,3,1,74,1912,107100,1254921.086,11.71728372,4423596.83,41.30342512
1-01988-7501,1273-R1,3,1,13,2002,19781,575585.9802,29.09792125,2800670.038,141.583845
1-01988-7502,1565-R1,3,1,29,2006,31308,975195.5442,31.1484459,4738410.952,151.3482481
1-01314-7501,319-R1,4,1,364,1986,351161,14897581.04,42.42379148,74703812.15,212.7337949
1-01319-7501,482-R1,4,1,101,1970,60900,1969533.742,32.34045553,9510676.242,156.1687396
1-01319-7502,1614-R1,4,1,18,2001,11861,638830.7326,53.85977005,3208738.84,270.5285254
1-01320-7501,85-R1,4,1,231,1982,350000,15192636.05,43.40753157,76608759.68,218.8821705
1-01320-7502,238-R1,4,1,48,1985,77029,3637272.747,47.21952443,18281084.38,237.3272972
1-01320-7503,240-R1,4,1,92,1957,63927,2397587.954,37.50509102,11634197.28,181.9919171
1-01320-7504,451-R1,4,1,129,1956,81745,2874866.06,35.1687083,13871731.34,169.6951659
1-01320-7505,620-R1,4,1,173,1988,164753,8853299.429,53.73680254,44570386.15,270.5285254
1-01322-7501,201-R1,4,1,162,1959,170631,5413373.92,31.72561797,26227586.82,153.7093894
1-01323-7501,185-R1,4,1,174,1985,193134,8715959.105,45.12907673,43698541.56,226.2602212
1-01324-7501,518-R1,4,1,16,1980,19082,835341.9155,43.7764341,4200174.238,220.1118456
1-01325-7501,227-R1,4,1,25,1984,46800,1818541.934,38.85773364,8804965.694,188.1402926
1-01325-7502,424-R1,4,1,27,1901,15410,566583.8765,36.76728595,2747647.561,178.3028917
1-01327-7501,795-R1,4,2,146,1957,126021,4524974.721,35.90651337,21850049.17,173.3841913
1-01327-7502,896-R1,4,1,178,1990,237531,11625021.2,48.94106959,58417191.97,245.9350231
1-01329-7501,2007-R1,4,1,40,2000,54638,3829658.37,70.09148157,19215478.84,351.687083
1-01330-7501,1563-R1,4,1,38,2004,70308,3752190.313,53.3679,18847407.56,268.0691751
1-01331-7501,541-R1,4,1,115,1963,128436,4058918.014,31.60265046,19741819.14,153.7093894
1-01331-7502,563-R1,4,2,260,1964,305093,9529197.857,31.23374793,46145328.21,151.2500392
1-01331-7503,1538-R1,4,1,67,2005,104916,4438033.248,42.30082397,22319178.83,212.7337949
1-01336-7501,168-R1,4,1,79,1983,127399,5796397.06,45.49797926,29138644.68,228.7195714
1-01338-7501,247-R1,4,1,113,1980,86845,3972630.237,45.74391429,19969942.32,229.9492466
1-01338-7502,614-R1,4,1,166,1977,122021,5416667.359,44.39127166,27308406.08,223.800871
1-01340-7501,1165-R1,4,1,373,2000,825532,59893033.28,72.5508318,300480302.5,363.9838341
1-01341-7501,176-R1,4,1,141,1962,89872,2939655.428,32.70935807,14256223.7,158.6280899
1-01341-7502,259-R1,4,1,126,1962,82112,2645442.376,32.21748802,12823327.55,156.1687396
1-01341-7503,336-R1,4,1,237,1984,438326,20320246.26,46.35875185,101870730.6,232.4085968
1-01341-7504,931-R1,4,1,16,1900,8214,282815.4391,34.43090323,1363574.439,166.0061406
1-01341-7505,1792-R1,4,1,81,0,78000,2119713.964,27.17582005,8344575.33,106.981735
1-01342-7501,61-R1,4,1,85,1982,119419,5374584.557,45.00610922,27019769.36,226.2602212
1-01342-7502,105-R1,4,1,20,1982,33376,1539061.374,46.11281682,7715827.691,231.1789217
1-01342-7503,1357-R1,4,0,15,1920,10550,504652.5189,47.83436198,2529749.131,239.7866475
1-01343-7501,60-R1,4,1,115,1931,93015,2459131.963,26.43801498,10980310.16,118.0488111
1-01343-7504,1809-R1,4,1,23,1900,35615,1782451.585,50.04777719,8977950.241,252.0833986
1-01344-7501,145-R1,4,1,97,1963,67540,2142748.238,31.72561797,10381532.16,153.7093894
1-01344-7502,1212-R1,4,1,64,2000,158085,10497232.29,66.40245622,53069341.04,335.7013065
1-01345-7501,1594-R1,4,1,85,2006,166692,8977992.789,53.85977005,45094940.96,270.5285254
1-01346-7501,323-R1,4,1,90,1959,65000,2118115.386,32.58639055,10310825.84,158.6280899
1-01346-7503,475-R1,4,1,59,1941,53435,1813532.238,33.93903318,8804830.429,164.7764654
1-01347-7501,1396-R1,4,1,118,2003,183619,7789814.168,42.42379148,39061966.69,212.7337949
1-01349-7501,510-R1,4,2,174,1960,198115,6431491.056,32.46342304,31182986.95,157.3984148
1-01349-7502,1632-R1,4,1,14,2005,41406,2851291.958,68.86180646,14409207.57,347.9980576
1-01350-7501,178-R1,4,2,115,1958,95347,3165637.497,33.20122811,15359204.15,161.0874401
1-01362-7502,1279-R1,4,1,113,2002,146025,10414671.91,71.32115669,51893796.21,355.3761083
1-01365-7501,283-R1,4,1,189,1958,196802,6340466.077,32.21748802,30734320.29,156.1687396
1-01365-7502,575-R1,4,1,228,1972,242825,9047454.553,37.25915599,43893591.39,180.7622419
1-01366-7501,59-R1,4,1,106,1983,174032,8966718.144,51.52338733,45154594.94,259.4614493
1-01368-7501,91-R1,4,1,60,1929,97636,3157592.716,32.34045553,15247691.06,156.1687396
1-01369-7501,278-R1,4,1,75,1986,85992,3690403.565,42.91566152,18610631.16,216.4228203
1-01370-7501,37-R1,4,1,75,1981,61175,2617843.056,42.79269401,13164440.66,215.1931452
1-01003-7501,347-R1,5,1,445,1927,328716,13278254.12,40.39430426,61838726.34,188.1220456
1-01006-7501,130-R1,5,1,212,1968,223307,10308949.6,46.16491916,40720350.94,182.3514307
1-01008-7501,84-R1,5,1,50,1982,96492,3786363.572,39.24018128,19043181.5,197.3550294
1-01008-7502,534-R1,5,1,65,1926,74422,2920332.771,39.24018128,14687556,197.3550294
1-01008-7503,540-R1,5,1,340,1987,494266,22817749.93,46.16491916,114659193.4,231.9787188
1-01009-7501,364-R1,5,1,247,1986,399221,18430005.19,46.16491916,84778023.87,212.3586281
1-01010-7501,165-R1,5,2,38,1916,43765,1565815.957,35.77781235,7576528.824,173.1184468
