 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-00721-7501,443-R1,0,2,713,1920,616965,30123316.13,48.825,142727140.7,231.3375
1-00738-7501,615-R1,0,2,117,1973,110995,4270948.856,38.47875,19483784.81,175.5375
1-00745-7502,739-R1,0,2,218,1963,196721,6517612.631,33.13125,29729461.13,151.125
1-00745-7503,1044-R1,0,2,70,1998,66668,3076811.535,46.15125,14647792.95,219.7125
1-00746-7503,206-R1,0,2,221,1931,151785,5117051.813,33.7125,23291408.25,153.45
1-00769-7503,502-R1,0,2,197,1980,117094,4492018.575,38.3625,20554388.03,175.5375
1-00792-7503,467-R1,0,2,14,1906,31650,993414.375,31.3875,4562347.5,144.15
1-00792-7504,710-R1,0,2,155,1930,138320,5000786.7,36.15375,22833174,165.075
1-00693-7501,1134-R1,0,1,12,1930,28207,1150951.376,40.80375,5508827.1,195.3
1-00694-7501,964-R1,0,1,30,1930,72274,2612976.128,36.15375,12518760.23,173.2125
1-00695-7503,1466-R1,0,1,336,2005,272102,13664962.44,50.22,68324812.2,251.1
1-00695-7504,1523-R1,0,1,22,2004,49658,2672779.778,53.82375,13392762.6,269.7
1-00695-7505,1752-R1,0,1,11,2005,24000,1222020,50.9175,6138000,255.75
1-00714-7501,1900-R1,0,1,181,2006,173100,8652836.25,49.9875,43264181.25,249.9375
1-00714-7501,1900-R2,0,1,288,2006,264402,13216794.98,49.9875,62702934.3,237.15
1-00716-7501,1477-R1,0,1,42,1900,49892,2551975.8,51.15,12759879,255.75
1-00716-7502,1566-R1,0,1,20,1920,22920,1065780,46.5,5355544.5,233.6625
1-00716-7503,1871-R1,0,1,43,2007,73263,3662234.213,49.9875,19418358.15,265.05
1-00717-7501,572-R1,0,1,71,1989,54355,2780258.25,51.15,13964478.94,256.9125
1-00720-7501,228-R1,0,1,39,1985,37431,1740541.5,46.5,8746221.038,233.6625
1-00720-7502,368-R1,0,1,11,1900,8408,459392.1,54.6375,2296960.5,273.1875
1-00722-7501,1819-R1,0,1,79,1912,97500,4307062.5,44.175,21648656.25,222.0375
1-00723-7501,1499-R1,0,1,52,1914,96088,4244687.4,44.175,21223437,220.875
1-00738-7502,1326-R1,0,1,22,1930,37402,1452226.155,38.8275,6956772,186
1-00742-7501,142-R1,0,1,60,1950,52698,1733698.328,32.89875,8270292.375,156.9375
1-00746-7502,124-R1,0,1,44,1985,53937,2326235.389,43.12875,11599826.06,215.0625
1-00746-7504,309-R1,0,1,26,1920,30908,1196487.315,38.71125,5748888,186
1-00746-7505,875-R1,0,1,11,1911,16083,686161.0913,42.66375,3440153.7,213.9
