 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-00690-7501,1924-R1,0,1,25,2007,67671,3844206.798,56.8073,18855306.07,278.632
1-00693-7501,1134-R1,0,1,12,1930,28207,1283923.405,45.5179,5996159.439,212.577
1-00694-7501,964-R1,0,1,30,1930,72274,3185599.416,44.0767,14756182.58,204.17
1-00695-7503,1466-R1,0,1,336,2005,272102,14999867.64,55.1259,73855557.45,271.426
1-00695-7504,1523-R1,0,1,22,2004,49658,2773225.497,55.8465,13597750.82,273.828
1-00695-7505,1752-R1,0,1,11,2005,24000,1274020.8,53.0842,6254808,260.617
1-00695-7506,2026-R1,0,1,16,2007,60964,1080694.197,17.72676,3653566.424,59.9299
1-00696-7502,1982-R1,0,1,18,2007,49238,2117027.2,42.9958,9875517.946,200.567
1-00714-7501,1900-R1,0,1,181,2006,173100,8939403.3,51.643,43865444.1,253.411
1-00714-7501,1900-R2,0,1,288,2006,264402,5077573.364,19.20399,17147527.31,64.854
1-00716-7501,1477-R1,0,1,42,1900,49892,2636492.848,52.844,12942783.07,259.416
1-00716-7502,1566-R1,0,1,20,1920,22920,880861.44,38.432,4101511.08,178.949
1-00716-7503,1871-R1,0,1,47,2007,83950,4436253.8,52.844,21777973.2,259.416
1-00717-7501,572-R1,0,1,71,1989,54355,2872335.62,52.844,14035276.33,258.215
1-00720-7501,228-R1,0,1,39,1985,37431,1708275.978,45.638,7956969.687,212.577
1-00720-7502,368-R1,0,1,11,1900,8408,403920.32,48.04,1979209.568,235.396
1-00721-7501,443-R1,0,2,713,1920,616965,28157048.67,45.638,131152568.8,212.577
1-00722-7501,1819-R1,0,1,79,1912,97500,4566802.5,46.839,22482720,230.592
1-00723-7501,1499-R1,0,1,52,1914,96088,4500665.832,46.839,22041722.41,229.391
1-00738-7501,615-R1,0,2,117,1973,110995,4865632.318,43.8365,22661849.15,204.17
1-00738-7502,1326-R1,0,1,22,1905,37402,1662032.674,44.437,7726205.944,206.572
1-00742-7501,142-R1,0,1,60,1950,52698,1980986.327,37.5913,9240383.508,175.346
1-00745-7502,739-R1,0,2,218,1963,196721,7135110.014,36.2702,33312930.86,169.341
1-00745-7503,1044-R1,0,2,70,1998,66668,3282798.988,49.241,16093721.87,241.401
1-00746-7502,124-R1,0,1,44,1985,53937,2519877.309,46.7189,12372662.37,229.391
1-00746-7503,206-R1,0,2,221,1931,151785,5578189.821,36.7506,26068011.26,171.743
1-00746-7504,309-R1,0,1,26,1920,30908,1280657.526,41.4345,5939281.28,192.16
1-00746-7505,875-R1,0,1,11,1911,16083,828642.8007,51.5229,4075609.113,253.411
1-00746-7506,1441-R1,0,1,77,1948,36000,1530554.4,42.5154,7133940,198.165
1-00751-7501,1328-R1,0,1,17,2002,15480,721349.424,46.5988,3550972.68,229.391
1-00764-7501,656-R1,0,0,22,1930,16478,633282.496,38.432,2948721.622,178.949
1-00764-7502,794-R1,0,0,34,1930,19979,767832.928,38.432,3575222.071,178.949
1-00766-7501,276-R1,0,1,16,1985,19718,923571.402,46.839,4546813.056,230.592
1-00766-7502,629-R1,0,1,156,1989,141673,5955224.555,42.035,27734331.5,195.763
1-00766-7503,1176-R1,0,1,11,1910,62304,2843429.952,45.638,13244397.41,212.577
1-00766-7504,1899-R1,0,1,31,1926,68206,3194700.834,46.839,15727757.95,230.592
1-00767-7502,943-R1,0,1,32,1907,83519,2708270.613,32.427,11234307.73,134.512
1-00767-7503,2000-R1,0,1,37,2000,63723,3214315.566,50.442,15765452.54,247.406
1-00767-7504,1305-R1,0,1,31,2002,52645,2655519.09,50.442,13087915.52,248.607
1-00768-7501,249-R1,0,1,69,1939,51717,1863363.51,36.03,8695696.38,168.14
1-00768-7502,479-R1,0,1,109,1962,99750,3593992.5,36.03,16652165.25,166.939
1-00768-7504,1442-R1,0,1,14,2004,23052,1190474.436,51.643,5841630.372,253.411
1-00769-7503,502-R1,0,2,197,1980,117094,4640786.502,39.633,21657003.68,184.954
1-00769-7505,1239-R1,0,1,43,1910,82151,3058563.881,37.231,14306185.9,174.145
1-00769-7506,1269-R1,0,1,12,2002,33378,1723740.054,51.643,8458352.358,253.411
1-00769-7508,1910-R1,0,1,19,2006,27784,1434849.112,51.643,7040771.224,253.411
1-00773-7501,1427-R1,0,1,20,2004,36967,1909086.781,51.643,9367844.437,253.411
1-00773-7502,1476-R1,0,1,12,1900,44800,2098387.2,46.839,10330521.6,230.592
1-00774-7501,1140-R1,0,1,351,1910,552679,25223164.2,45.638,117486843.8,212.577
1-00792-7501,157-R1,0,1,48,1918,39792,1319009.299,33.1476,5495872.08,138.115
1-00792-7503,467-R1,0,2,14,1906,31650,1056723.87,33.3878,4371339.75,138.115
1-00792-7504,710-R1,0,2,155,1930,138320,5166404.152,37.3511,24087736.4,174.145
1-00793-7501,69-R1,0,1,35,1900,61572,2366335.104,38.432,11018247.83,178.949
1-00793-7505,1234-R1,0,1,51,2001,111514,5102668.763,45.7581,25044594.72,224.587
1-00793-7506,1314-R1,0,1,18,1910,54708,2102537.856,38.432,9789941.892,178.949
1-00793-7507,1861-R1,0,1,43,2006,67387,4370316.498,64.854,21365991.77,317.064
1-00793-7508,1921-R1,0,1,38,2008,70840,4594257.36,64.854,22460813.76,317.064
