MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00571-7501,27-R1,7 EAST 13 STREET,GREENWICH VILLAGE,2,39,1928,42384,1133772,26.8,5190000,122
1-00572-7501,747-R1,12 WEST 9 STREET,GREENWICH VILLAGE,2,23,1952,13256,371168,28,1780000,134
1-00573-7502,89-R1,69 WEST 9 STREET,GREENWICH VILLAGE,2,119,1959,94250,2497625,26.5,11400000,121
1-00575-7501,515-R1,53 WEST 11 STREET,GREENWICH VILLAGE,2,15,1900,9380,255000,27.2,1170000,125
1-00576-7503,886-R1,8 WEST 13 STREET,GREENWICH VILLAGE,2,30,1910,34168,854200,25,3610000,106
1-00584-7501,743-R1,442 HUDSON STREET,GREENWICH VILLAGE,2,169,1925,100633,2515825,25,10600000,105
1-00590-7502,608-R1,9 BARROW STREET,GREENWICH VILLAGE,2,86,1930,89510,2271763,25.4,10400000,116
1-00593-7501,663-R1,10 CHRISTOPHER STREET,GREENWICH VILLAGE,2,30,1910,21738,652140,30,2990000,138
1-00612-7502,626-R1,25 CHARLES STREET,GREENWICH VILLAGE,2,30,1910,19715,500000,25.4,2110000,107
1-00612-7503,698-R1,259 WEST 4 STREET,GREENWICH VILLAGE,2,25,1905,13997,380000,27.1,1740000,124
1-00616-7501,445-R1,2 HORATIO STREET,GREENWICH VILLAGE,2,241,1931,209011,5300000,25.4,22400000,107
1-00623-7501,776-R1,295 WEST 11 STREET,GREENWICH VILLAGE,2,60,1920,32638,915000,28,4190000,128
1-00624-7504,640-R1,419 BLEECKER STREET,GREENWICH VILLAGE,2,87,1939,75154,2440000,32.5,11200000,149
1-00631-7501,18-R1,712 GREENWICH STREET,GREENWICH VILLAGE,2,20,1910,53943,1590000,29.5,7620000,141
1-00521-7501,630-R1,306 MOTT STREET,GREENWICH VILLAGE,1,18,1988,9514,332990,35,1599997,168
1-00522-7501,348-R1,54 BLEECKER STREET,GREENWICH VILLAGE,1,11,1910,31039,807014,26,3500001,113
1-00525-7502,212-R1,496 LA GUARDIA PLACE,GREENWICH VILLAGE,1,11,1910,6670,180000,27,862000,129
1-00525-7506,1685-R1,184 THOMPSON STREET,GREENWICH VILLAGE,1,144,1910,85234,2557020,30,12199995,143
1-00529-7502,494-R1,7 BOND STREET,GREENWICH VILLAGE,1,20,1904,24630,735000,29.8,3519996,143
1-00529-7504,631-R1,1 BOND STREET,GREENWICH VILLAGE,1,21,1900,41990,1133730,27,5430002,129
1-00530-7505,1721-R1,40 BOND STREET,GREENWICH VILLAGE,1,26,2006,85000,3570000,42,17900002,211
1-00531-7501,70-R1,692 BROADWAY,GREENWICH VILLAGE,1,56,1912,92500,3052500,33,14600004,158
1-00544-7501,2004-R1,56 COOPER SQUARE,GREENWICH VILLAGE,1,25,1920,88353,3401590,38.5,17099999,194
1-00545-7503,1341-R1,21 ASTOR PLACE,GREENWICH VILLAGE,1,50,1930,96566,2666665,27.6,12800002,133
1-00552-7501,349-R1,360 6 AVENUE,GREENWICH VILLAGE,1,28,1986,43106,1150000,26.7,4989995,116
1-00552-7504,1660-R1,88 WEST WASHINGTON PLACE,GREENWICH VILLAGE,1,28,1966,32116,1100000,34.3,5269992,164
1-00556-7501,330-R1,10430 EAST 12 STREET,GREENWICH VILLAGE,1,11,1905,28385,777376,27.4,3720003,131
1-00558-7501,210-R1,114 EAST 13 STREET,GREENWICH VILLAGE,1,41,1985,56483,1638000,29,7850001,139
1-00558-7502,446-R1,115 4 AVENUE,GREENWICH VILLAGE,1,70,1905,90082,2522296,28,12099998,134
1-00558-7503,684-R1,125 EAST 12 STREET,GREENWICH VILLAGE,1,44,1988,57042,1654218,29,7920000,139
1-00559-7501,1742-R1,108 3 AVENUE,GREENWICH VILLAGE,1,84,2006,100500,4422000,44,22200001,221
1-00563-7501,298-R1,44 EAST 12 STREET,GREENWICH VILLAGE,1,44,1985,43542,1306260,30,6260001,144
1-00567-7501,1177-R1,23 5 AVENUE,GREENWICH VILLAGE,1,96,1921,81875,3025330,37,15200020,186
1-00569-7501,154-R1,10 EAST 12 STREET,GREENWICH VILLAGE,1,27,1907,66739,1735214,26,7530002,113
1-00569-7502,205-R1,8 EAST 12 STREET,GREENWICH VILLAGE,1,12,1908,28097,744570,26.5,3230000,115
1-00569-7503,248-R1,16 EAST 12 STREET,GREENWICH VILLAGE,1,37,1910,52493,1416311,27,6780002,129
1-00569-7504,1028-R1,13 EAST 11 STREET,GREENWICH VILLAGE,1,115,1903,60860,1764940,29,8449995,139
1-00575-7502,1895-R1,31 WEST 11 STREET,GREENWICH VILLAGE,1,17,1912,34118,852950,25,3700002,108
1-00576-7501,3-R1,60 WEST 13 STREET,GREENWICH VILLAGE,1,70,1966,82017,2214459,27,10599991,129
1-00576-7502,421-R1,59 WEST 12 STREET,GREENWICH VILLAGE,1,105,1931,112050,3249450,29,15600000,139
1-00577-7502,1180-R1,65 WEST 13 STREET,GREENWICH VILLAGE,1,77,1906,201330,7046550,35,33799993,168
1-00528-7501,426-R1,63 DOWNING STREET,GREENWICH VILLAGE,1,32,1986,35225,1056750,30,5060000,144
1-00528-7502,495-R1,3 BEDFORD STREET,GREENWICH VILLAGE,1,12,1986,15990,479700,30,2299999,144
1-00589-7501,48-R1,2 CORNELIA STREET,GREENWICH VILLAGE,1,43,1929,66282,1922178,29,9209999,139
1-00592-7501,562-R1,1 SHERIDAN SQUARE,GREENWICH VILLAGE,1,45,1900,21494,591085,27.5,2829993,132
1-00593-7502,1678-R1,147 WAVERLY PLACE,GREENWICH VILLAGE,1,18,1915,44820,1434240,32,6869999,153
1-00601-7501,542-R1,421 HUDSON STREET,GREENWICH VILLAGE,1,184,1920,212232,7003656,33,33499993,158
1-00602-7501,1368-R1,1 MORTON SQUARE,GREENWICH VILLAGE,1,142,2002,310000,14105000,45.5,70699994,228
1-00604-7501,79-R1,162 CHRISTOPHER STREET,GREENWICH VILLAGE,1,83,1920,88227,2735037,31,13100007,148
1-00608-7501,487-R1,175 WEST 12 STREET,GREENWICH VILLAGE,1,214,1961,165160,5110000,30.9,24499998,148
1-00609-7502,965-R1,116 WEST 14 STREET,GREENWICH VILLAGE,1,18,1912,46687,1310000,28.1,6270000,134
1-00610-7501,366-R1,45 CHRISTOPHER STREET,GREENWICH VILLAGE,1,113,1931,120723,3600000,29.8,17200005,142
1-00612-7501,530-R1,22 PERRY STREET,GREENWICH VILLAGE,1,21,1987,18780,730000,38.9,3660002,195
1-00612-7504,850-R1,15 CHARLES STREET,GREENWICH VILLAGE,1,122,1964,92616,2350000,25.4,10199997,110
1-00618-7501,447-R1,222 WEST 14 STREET,GREENWICH VILLAGE,1,132,1987,101634,3600000,35.4,17200001,169
1-00620-7501,1087-R1,534 HUDSON STREET,GREENWICH VILLAGE,1,22,1998,41506,2050000,49.4,10299998,248
1-00624-7502,106-R1,69 BANK STREET,GREENWICH VILLAGE,1,15,1983,27448,830000,30.2,3980004,145
1-00624-7503,439-R1,302 WEST 12 STREET,GREENWICH VILLAGE,1,128,1910,138934,3750000,27,18000004,130
1-00625-7501,363-R1,299 WEST 12 STREET,GREENWICH VILLAGE,1,182,1930,159268,4100000,25.7,17799998,112
1-00629-7501,469-R1,321 WEST 13 STREET,GREENWICH VILLAGE,1,21,1907,30312,1060000,35,5080000,168
1-00629-7502,544-R1,350 WEST 14 STREET,GREENWICH VILLAGE,1,49,1962,32863,985000,30,4720001,144
1-00629-7503,1057-R1,345 WEST 13 STREET,GREENWICH VILLAGE,1,47,1920,123881,4950000,40,24800002,200
1-00629-7504,1120-R1,77 8 AVENUE,GREENWICH VILLAGE,1,11,1920,23425,870000,37.1,4359999,186
1-00631-7502,376-R1,677 WASHINGTON STREET,GREENWICH VILLAGE,1,77,1987,73176,2600000,35.5,12499999,171
1-00635-7501,158-R1,33 BETHUNE STREET,GREENWICH VILLAGE,1,24,1930,42407,1450000,34.2,6949997,164
1-00636-7501,1011-R1,296 WEST 10 STREET,GREENWICH VILLAGE,1,24,1997,38871,1740000,44.8,8729999,225
1-00636-7502,1542-R1,3 WEEHAWKEN STREET,GREENWICH VILLAGE,1,20,1900,11852,430000,36.3,2160003,182
1-00637-7501,301-R1,155 PERRY STREET,GREENWICH VILLAGE,1,32,1913,48708,0,0,8320002,171
1-00637-7502,473-R1,366 WEST 11 STREET,GREENWICH VILLAGE,1,81,1987,60200,2230000,37,11200000,186
1-00637-7504,1229-R1,176 PERRY STREET,GREENWICH VILLAGE,1,23,2001,88141,4250000,48.2,21300000,242
1-00637-7505,1453-R1,165 CHARLES STREET,GREENWICH VILLAGE,1,29,2004,72225,3250000,45,16299994,226
1-00638-7501,576-R1,164 BANK STREET,GREENWICH VILLAGE,1,24,1988,21991,770000,35,3690002,168
1-00638-7502,1211-R1,359 WEST 11 STREET,GREENWICH VILLAGE,1,18,1999,39213,1600000,40.8,8020000,205
1-00641-7501,329-R1,88 JANE STREET,GREENWICH VILLAGE,1,27,1910,20546,650000,31.6,3036550,148
1-00642-7502,1066-R1,99 JANE STREET,GREENWICH VILLAGE,1,84,1997,147335,6000000,40.7,30100004,204
1-00572-7502,1256-R1,30 WEST 9 STREET,GREENWICH VILLAGE,0,18,1900,14398,450000,31.3,2160002,150
1-00587-7501,293-R1,76 BEDFORD STREET,GREENWICH VILLAGE,0,30,1929,19320,483000,25,2099997,109
1-00620-7502,1459-R1,223 WEST 10 STREET,GREENWICH VILLAGE,0,40,1893,18403,530000,28.8,2539998,138
1-00621-7503,1688-R1,382 BLEECKER STREET,GREENWICH VILLAGE,0,21,1914,13648,440000,32.2,2110006,155
1-00643-7501,314-R1,77 HORATIO STREET,GREENWICH VILLAGE,0,12,1910,11270,340000,30.2,1629999,145
1-01600-7501,1073-R1,130 LENOX AVENUE,HARLEM,2,240,1999,312016,8736448,28,40000000,128
1-01745-7501,1382-R1,1825 MADISON AVENUE,HARLEM,2,92,2003,97592,2860000,29.3,13100000,134
1-01901-7501,1478-R1,106 WEST 117 STREET,HARLEM,2,28,2004,52916,1799144,34,8550000,162
1-01901-7501,1478-R2,101 WEST 117 STREET,HARLEM,2,23,2004,37719,1282446,34,6090000,161
1-01947-7501,1289-R1,2235 FRED DOUGLASS BOULEV,HARLEM,2,74,2003,93600,2808000,30,12900000,138
1-02034-7501,1365-R1,255 WEST 148 STREET,HARLEM,2,104,1920,143389,4014892,28,18400000,128
1-02044-7501,1422-R1,300 WEST 145 STREET,HARLEM,2,128,2003,212047,6361410,30,29100000,137
1-02045-7502,1717-R1,102 BRADHURST AVENUE,HARLEM,2,135,2005,164085,4922550,30,20800000,127
1-02051-7501,1327-R1,330 WEST 145 STREET,HARLEM,2,77,2001,91858,2755740,30,12600000,137
1-01623-7501,1322-R1,1787 MADISON AVENUE,HARLEM,2,152,2003,109646,2850000,26,12000000,109
1-01646-7502,1512-R2,215 EAST 96 STREET,HARLEM,2,215,2005,184939,6270000,33.9,29800000,161
1-01674-7501,1471-R1,333 EAST 102 STREET,HARLEM,2,233,2003,315656,9200000,29.1,42100000,133
1-01599-7501,1359-R1,1400 5 AVENUE,HARLEM,1,129,2003,163480,5067880,31,24300005,149
1-01599-7502,1735-R1,40 WEST 116 STREET,HARLEM,1,248,2006,395140,12249340,31,58700069,149
1-01720-7501,1323-R1,1 MT MORRIS PARK WEST,HARLEM,1,36,1909,40987,735000,17.93,2909999,71
1-01721-7501,751-R1,3 WEST 122 STREET,HARLEM,1,24,1900,27073,460000,16.99,1820001,67
1-01724-7501,1713-R1,50 WEST 127 STREET,HARLEM,1,23,2005,32150,725000,22.55,3149989,98
1-01727-7501,1578-R1,380 LENOX AVENUE,HARLEM,1,77,2005,131237,3740000,28.5,17900009,136
1-01729-7501,846-R1,55 WEST 131 STREET,HARLEM,1,34,1898,28408,540000,19.01,2140002,75
1-01753-7501,1525-R1,23 EAST 128 STREET,HARLEM,1,12,2005,12000,350000,29.2,1679996,140
1-01753-7502,1656-R1,50 EAST 129 STREET,HARLEM,1,18,2004,15023,400000,26.6,1740000,116
1-01820-7501,592-R1,137 CENTRAL PARK NORTH,HARLEM,1,35,1910,36637,769377,21,3340006,91
1-01820-7502,1520-R1,125 CENTRAL PARK NORTH,HARLEM,1,17,1900,22039,661170,30,3169999,144
1-01820-7503,1768-R1,111 CENTRAL PARK NORTH,HARLEM,1,48,2006,189758,6262014,33,30000011,158
1-01823-7501,807-R1,66 ST NICHOLAS' AVENUE,HARLEM,1,54,1915,58429,1051722,18,4159999,71
1-01823-7502,1545-R1,61 LENOX AVENUE,HARLEM,1,15,1900,18567,464175,25,2019998,109
1-01826-7501,591-R1,1800 ADAM C POWELL BOULEV,HARLEM,1,35,1911,48636,972720,20,4220001,87
1-01828-7501,749-R1,1852 ADAM C POWELL BOULEV,HARLEM,1,14,1900,18448,313616,17,1240000,67
1-01828-7502,1332-R1,203 WEST 112 STREET,HARLEM,1,13,1920,23700,426600,18,1690000,71
1-01829-7501,1440-R1,2098 FRED DOUGLASS BOULEV,HARLEM,1,33,0,28560,685440,24,2980002,104
1-01830-7501,1799-R1,266 WEST 115 STREET,HARLEM,1,15,2005,20184,807360,40,4395687,218
1-01903-7501,1495-R1,100 WEST 119 STREET,HARLEM,1,25,1910,44329,1108225,25,4809997,109
1-01908-7502,1699-R1,138 WEST 124 STREET,HARLEM,1,21,1906,46991,1174775,25,5110000,109
1-01914-7502,1690-R1,381 LENOX AVENUE,HARLEM,1,19,2007,29315,996710,34,4769998,163
1-01922-7501,1733-R1,227 WEST 116 STREET,HARLEM,1,16,1910,15210,304200,20,1319994,87
1-01924-7501,1348-R1,163 ST NICHOLAS AVENUE,HARLEM,1,64,2003,63252,1771056,28,8479996,134
1-01924-7502,1488-R1,2216 FRED DOUGLASS BOULEV,HARLEM,1,74,2003,59844,2034696,34,9670000,162
1-01924-7502,1488-R2,276 WEST 119 STREET,HARLEM,1,22,2004,19500,663000,34,3150000,162
1-01930-7501,1712-R1,267 WEST 124 STREET,HARLEM,1,11,1910,25230,630750,25,2739999,109
1-01942-7502,1284-R1,2322 ADAM C POWELL BOULEV,HARLEM,1,36,1933,38386,767720,20,3329999,87
1-01943-7501,793-R1,352 WEST 117 STREET,HARLEM,1,41,1900,45436,999592,22,4339997,96
1-01943-7502,1373-R1,364      368 WEST 117 STR,HARLEM,1,49,1901,66936,1405656,21,6100000,91
1-01945-7502,1391-R1,309 WEST 118 STREET,HARLEM,1,48,2003,108510,3363810,31,16100000,148
1-01945-7504,1762-R1,2187 FRED DOUGLASS BOULEV,HARLEM,1,93,2006,108572,3257160,30,15599991,144
1-01946-7501,1681-R1,313 WEST 119 STREET,HARLEM,1,54,2006,67413,2022390,30,9689999,144
1-01959-7501,1423-R1,300 WEST 135 STREET,HARLEM,1,170,2003,240000,6000000,25,26100001,109
1-02041-7503,1716-R1,2605 FRED DOUGLASS BOULEV,HARLEM,1,14,1894,18306,640710,35,3069999,168
1-02045-7501,1640-R1,68 BRADHURST AVENUE,HARLEM,1,180,2005,204835,6145050,30,29400016,144
1-01627-7501,1628-R1,158 EAST 100 STREET,HARLEM,1,13,2004,6342,210000,33.1,1009999,159
1-01630-7502,1801-R1,117 EAST 102 STREET,HARLEM,1,11,2006,12184,440000,36.1,2210000,181
1-01661-7501,1403-R1,227 EAST 111 STREET,HARLEM,1,22,2003,25721,720000,28,3450005,134
1-01667-7501,1829-R1,232 EAST 118 STREET,HARLEM,1,12,1910,12222,300000,24.55,1300004,106
1-01676-7504,1905-R1,2019 1 AVENUE,HARLEM,1,38,2007,32660,900000,27.6,4310002,132
1-01677-7503,574-R1,319 EAST 105 STREET,HARLEM,1,36,1929,33280,690000,20.73,3000006,90
1-01680-7501,458-R1,305 EAST 108 STREET,HARLEM,1,33,1926,46998,850000,18.09,3360001,71
1-01680-7502,1883-R1,330 EAST 109 STREET,HARLEM,1,28,2007,25174,1030000,40.9,5170002,205
1-01681-7501,1573-R1,2132 2 AVENUE,HARLEM,1,31,2006,32483,1300000,40,6519997,201
1-01683-7501,1479-R1,324 EAST 112 STREET,HARLEM,1,20,2004,22295,685000,30.7,3279997,147
1-01788-7501,1820-R1,2279 3 AVENUE,HARLEM,1,11,2006,10585,400000,37.8,1919999,181
1-01807-7501,1732-R1,414 EAST 120 STREET,HARLEM,1,12,2006,9745,290000,29.8,1390000,143
1-02067-7502,9823-R2,479 WEST 152 STREET,HARLEM,1,20,1920,17565,526950,30,2520004,143
1-02079-7501,1490-R1,529 WEST 147 STREET,HARLEM,1,12,2005,12000,480000,40,2409999,201
1-02090-7501,1832-R1,660 RIVERSIDE DRIVE,HARLEM,1,54,1908,30886,617720,20,2680000,87
1-02092-7501,1897-R1,680 RIVERSIDE DRIVE,HARLEM,1,25,1926,24132,253386,10.5,786999,32.6
1-02093-7501,1896-R1,690 RIVERSIDE DRIVE,HARLEM,1,35,1920,30441,608820,20,2640000,87
1-02094-7501,1673-R1,706 RIVERSIDE DRIVE,HARLEM,1,50,1913,86020,1978460,23,8590000,100
1-02095-7501,1710-R1,608 WEST 149 STREET,HARLEM,1,50,2005,67805,2034150,30,9740006,144
1-02096-7501,1680-R1,725 RIVERSIDE DRIVE,HARLEM,1,74,1912,107100,1499400,14,5469995,51
1-01988-7501,1273-R1,519 WEST 135 STREET,HARLEM,1,13,2002,21862,743308,34,3560001,163
1-01988-7502,1565-R1,504 WEST 136 STREET,HARLEM,1,29,2006,31308,1064472,34,5099999,163
1-01729-7503,1530-R1,7 WEST 131 STREET,HARLEM,0,12,2004,15230,400000,26.3,1740001,114
1-01755-7501,1470-R1,69 EAST 130 STREET,HARLEM,0,25,2004,40418,1300000,32.2,6230004,154
1-01826-7502,1662-R1,220 WEST 111 STREET,HARLEM,0,24,0,18540,315180,17,1250005,67
1-01828-7503,1540-R1,2072 FRED DOUGLASS BOULEV,HARLEM,0,13,1900,6866,205980,30,986998,144
1-01828-7505,1684-R1,2082 FRED DOUGLASS BOULEV,HARLEM,0,14,0,6846,205380,30,983996,144
1-01831-7501,1657-R1,245 WEST 115 STREET,HARLEM,0,20,1900,7852,235560,30,1130000,144
1-01942-7501,887-R1,273 WEST 136 STREET,HARLEM,0,32,1994,35082,877050,25,3809984,109
1-01944-7502,1190-R1,370 WEST 118 STREET,HARLEM,0,49,1931,63586,0,0,5100001,80
1-01955-7501,1340-R1,368 ST NICHOLAS AVENUE,HARLEM,0,15,1910,23765,522830,22,2270000,96
1-01960-7502,899-R1,300 WEST 137 STREET,HARLEM,0,28,1994,41964,923208,22,4009994,96
1-02023-7503,874-R1,297 WEST 137 STREET,HARLEM,0,28,1993,30976,681472,22,2960000,96
1-02041-7502,900-R1,300 WEST 138 STREET,HARLEM,0,28,1994,36188,796136,22,3460007,96
1-02042-7502,974-R1,2611 FRED DOUGLASS BOULEV,HARLEM,0,47,1896,76584,1684848,22,7320009,96
1-01630-7501,441-R1,169 EAST 102 STREET,HARLEM,0,17,1920,9590,185000,19.29,802998,84
1-01630-7501,441-R2,173 EAST 102 STREET,HARLEM,0,17,1920,9590,185000,19.29,803000,84
1-01632-7501,666-R1,165 EAST 104 STREET,HARLEM,0,12,1910,7690,155000,20.16,672998,88
1-01676-7501,342-R1,311 EAST 104 STREET,HARLEM,0,12,1900,6092,125000,20.52,543000,89
1-02066-7501,561-R1,443 WEST 151 STREET,HARLEM,0,38,1926,25050,551100,22,2390004,95
1-01327-7501,795-R1,211 EAST 53 STREET,MIDTOWN EAST,2,146,1957,126021,4300000,34.1,20400000,162
1-01331-7502,563-R1,225 EAST 57 STREET,MIDTOWN EAST,2,260,1964,305093,9160000,30,41900000,137
1-01349-7501,510-R1,345 EAST 56 STREET,MIDTOWN EAST,2,174,1960,198115,6000000,30.3,27500000,139
1-01350-7501,178-R1,351 EAST 57 STREET,MIDTOWN EAST,2,115,1958,95347,2860000,30,13100000,137
1-01314-7501,319-R1,235 EAST 40 STREET,MIDTOWN EAST,1,364,1986,351161,13000000,37,65200014,186
1-01319-7501,482-R1,240 EAST 46 STREET,MIDTOWN EAST,1,101,1970,60900,1700000,27.9,8139989,134
1-01319-7502,1614-R1,845 2 AVENUE,MIDTOWN EAST,1,18,2001,11861,535000,45.1,2680000,226
1-01320-7501,85-R1,238 EAST 47 STREET,MIDTOWN EAST,1,231,1982,350000,12800000,36.6,64200000,183
1-01320-7502,238-R1,216 EAST 47 STREET,MIDTOWN EAST,1,48,1985,77029,3100000,40.2,15499992,201
1-01320-7503,240-R1,210 EAST 47 STREET,MIDTOWN EAST,1,92,1957,63927,2170000,33.9,10400018,163
1-01320-7504,451-R1,225 EAST 46 STREET,MIDTOWN EAST,1,129,1956,81745,2600000,31.8,12499994,153
1-01320-7505,620-R1,236 EAST 47 STREET,MIDTOWN EAST,1,173,1988,164753,7500000,45.5,37599995,228
1-01320-7506,1828-R1,211 EAST 46 STREET,MIDTOWN EAST,1,261,1979,207246,8200000,39.6,41100026,198
1-01322-7501,201-R1,249 EAST 48 STREET,MIDTOWN EAST,1,162,1959,170631,5000000,29.3,24000009,141
1-01323-7501,185-R1,255 EAST 49 STREET,MIDTOWN EAST,1,174,1985,193134,7450000,38.6,37400009,194
1-01324-7501,518-R1,245 EAST 50 STREET,MIDTOWN EAST,1,16,1980,19082,735000,38.5,3690000,193
1-01325-7501,227-R1,226 EAST 52 STREET,MIDTOWN EAST,1,25,1984,46800,1600000,34.2,7660003,164
1-01325-7502,424-R1,230 EAST 52 STREET,MIDTOWN EAST,1,27,1901,15410,520000,33.7,2490002,162
1-01327-7502,896-R1,250 EAST 54 STREET,MIDTOWN EAST,1,177,1990,237531,10250000,43.2,51400007,216
1-01329-7501,2007-R1,231 EAST 55 STREET,MIDTOWN EAST,1,40,2000,54638,3150000,58,15799994,289
1-01331-7501,541-R1,200 EAST 58 STREET,MIDTOWN EAST,1,115,1963,128436,3900000,30.4,18699997,146
1-01331-7503,1538-R1,207 EAST 57 STREET,MIDTOWN EAST,1,67,2005,104916,4500000,42.9,22600002,215
1-01336-7501,168-R1,806 2 AVENUE,MIDTOWN EAST,1,79,1983,127399,5000000,39.2,25100031,197
1-01338-7501,247-R1,846 2 AVENUE,MIDTOWN EAST,1,113,1980,86845,3300000,38,16499993,190
1-01338-7502,614-R1,325 EAST 45 STREET,MIDTOWN EAST,1,166,1977,122021,4750000,38.9,23800000,195
1-01340-7501,1165-R1,845 UNITED NATIONS PLAZA,MIDTOWN EAST,1,370,2000,825532,50000000,61,250999979,304
1-01341-7501,176-R1,330 EAST 49 STREET,MIDTOWN EAST,1,141,1962,89872,2750000,30.6,13200005,147
1-01341-7502,259-R1,317 EAST 48 STREET,MIDTOWN EAST,1,126,1962,82112,2500000,30.4,11999982,146
1-01341-7503,336-R1,100 UNITED NATIONS PLAZA,MIDTOWN EAST,1,237,1984,438326,19100000,43.6,95799995,219
1-01341-7505,1792-R1,865 1 AVENUE,MIDTOWN EAST,1,81,1930,78000,1950000,25,8469999,109
1-01342-7501,61-R1,309 EAST 49 STREET,MIDTOWN EAST,1,85,1982,119419,4780000,40,24000016,201
1-01342-7502,105-R1,301 EAST 49 STREET,MIDTOWN EAST,1,20,1982,33376,1400000,41.9,7020010,210
1-01343-7501,60-R1,317 EAST 50 STREET,MIDTOWN EAST,1,115,1931,93015,2350000,25.3,9920000,107
1-01343-7504,1809-R1,343 EAST 50 STREET,MIDTOWN EAST,1,23,1900,35615,1480000,41.6,7419999,208
1-01344-7501,145-R1,335 EAST 51 STREET,MIDTOWN EAST,1,97,1963,67540,2030000,30.1,9720004,144
1-01344-7502,1212-R1,351 EAST 51 STREET,MIDTOWN EAST,1,64,2000,158085,7910000,50,39700000,251
1-01345-7501,1594-R1,310 EAST 53 STREET,MIDTOWN EAST,1,85,2006,166692,8200000,49.2,41100004,247
1-01346-7501,323-R1,320 EAST 54 STREET,MIDTOWN EAST,1,90,1959,65000,2020000,31.1,9680003,149
1-01346-7503,475-R1,975 1 AVENUE,MIDTOWN EAST,1,59,1941,53435,1700000,31.8,8139999,152
1-01347-7501,1396-R1,300 EAST 55 STREET,MIDTOWN EAST,1,118,2003,219278,8600000,39.2,43100004,197
1-01349-7502,1632-R1,330 EAST 57 STREET,MIDTOWN EAST,1,14,2005,41406,0,0,11500003,278
1-01362-7502,1279-R1,400 EAST 51 STREET,MIDTOWN EAST,1,113,2002,172926,8650000,50,43400002,251
1-01365-7501,283-R1,966 1 AVENUE,MIDTOWN EAST,1,189,1958,196802,6360000,32.3,30500002,155
1-01365-7502,575-R1,400 EAST 54 STREET,MIDTOWN EAST,1,228,1972,242825,8900000,36.7,44600005,184
1-01366-7501,59-R1,415 EAST 54 STREET,MIDTOWN EAST,1,106,1983,174032,7850000,45.1,39399999,226
1-01368-7501,91-R1,444 EAST 57 STREET,MIDTOWN EAST,1,60,1929,97636,3000000,30.7,14399999,147
1-01369-7501,278-R1,420 EAST 58 STREET,MIDTOWN EAST,1,75,1986,85992,3200000,37.2,16000004,186
1-01370-7501,37-R1,40 SUTTON PLACE,MIDTOWN EAST,1,75,1981,61175,2350000,38.4,11800001,193
1-01342-7503,1357-R1,344 EAST 50 STREET,MIDTOWN EAST,0,15,1920,10550,445000,42.2,2230002,211
1-01010-7501,165-R1,140 WEST 58 STREET,MIDTOWN WEST,2,38,1916,43765,1312950,30,6010000,137
1-01011-7504,767-R1,135 WEST 58 STREET,MIDTOWN WEST,2,34,1912,35328,1059840,30,4850000,137
1-01025-7501,606-R1,828 7 AVENUE,MIDTOWN WEST,2,129,1916,128513,4240929,33,19400000,151
1-01048-7504,800-R1,333 WEST 57 STREET,MIDTOWN WEST,2,188,1940,158478,5071296,32,23200000,146
1-01003-7501,347-R1,150 WEST 51 STREET,MIDTOWN WEST,1,445,1927,328716,13148640,40,65899991,200
1-01006-7501,130-R1,825 7 AVENUE,MIDTOWN WEST,1,212,1968,223307,8485666,38,42600010,191
1-01008-7501,84-R1,108 WEST 56 STREET,MIDTOWN WEST,1,50,1982,96492,4052664,42,20300029,210
1-01008-7502,534-R1,162 WEST 56 STREET,MIDTOWN WEST,1,65,1926,74422,2828036,38,14200002,191
1-01008-7503,540-R1,150 WEST 56 STREET,MIDTOWN WEST,1,340,1987,494266,21253438,43,106999987,216
1-01009-7501,364-R1,146 WEST 57 STREET,MIDTOWN WEST,1,247,1986,399221,17964945,45,90099994,226
1-01010-7502,513-R1,120 WEST 58 STREET,MIDTOWN WEST,1,33,1923,32796,983880,30,4709999,144
1-01010-7504,1153-R1,171 WEST 57 STREET,MIDTOWN WEST,1,35,1922,88288,3354944,38,16799998,190
1-01010-7505,1524-R1,100 WEST 58 STREET,MIDTOWN WEST,1,103,1926,121921,4876840,40,24500007,201
1-01011-7501,11-R1,160 CENTRAL PARK SOUTH,MIDTOWN WEST,1,161,1930,159786,6391440,40,32100002,201
1-01011-7502,496-R1,106 CENTRAL PARK SOUTH,MIDTOWN WEST,1,420,1930,340000,13600000,40,68199993,201
1-01011-7503,696-R1,116 CENTRAL PARK SOUTH,MIDTOWN WEST,1,79,1950,78236,3285912,42,16499997,211
1-01011-7505,1018-R1,1431 6 AVENUE,MIDTOWN WEST,1,80,1918,87821,3688482,42,18500007,211
