MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-00473-7503,1663-R1,425 BROOME STREET,SOHO,1,18,1874,27023,756644,28,3130000,116,40.7212688 -73.9989524
1-00474-7504,1185-R1,473 BROADWAY,SOHO,1,13,1894,35452,927069,26.1,3839997,108,40.7213202 -74.0004478
1-00474-7505,1205-R1,475 BROADWAY,SOHO,1,14,1920,36407,952043,26.1,3940003,108,40.7213839 -74.0003936
1-00474-7506,1654-R1,40 MERCER STREET,SOHO,1,41,2005,117311,4575129,39,22500001,192,40.7213768182 -74.0012121818
1-00475-7505,1010-R1,42 WOOSTER STREET,SOHO,1,14,1900,55210,1449262,26.2,5999997,109,40.72229845 -74.002418
1-00482-7502,1484-R1,210 LAFAYETTE STREET,SOHO,1,52,2005,73057,2337824,32,10900003,149,40.7216918 -73.9978781
1-00498-7501,131-R1,90 PRINCE STREET,SOHO,1,14,1900,18031,459790,25.5,1900002,105,40.7243656 -73.9985121534
1-00499-7502,685-R1,114 GREENE STREET,SOHO,1,19,1988,34876,880619,25.3,3649999,105,40.72466495 -73.99935205
1-00499-7505,1658-R1,92 GREENE STREET,SOHO,1,14,2005,42823,1841389,43,9040001,211,40.7241105 -74.0002298333
1-00500-7501,123-R1,116 WOOSTER STREET,SOHO,1,15,1907,20752,523988,25.3,2169997,105,40.7248778824 -74.000398
1-00500-7502,284-R1,93 GREENE STREET,SOHO,1,29,1900,36223,869352,24,3600000,99,40.724144 -74.0002016
1-00500-7505,1241-R1,103 GREENE STREET,SOHO,1,12,1879,34968,1442430,41.3,7079999,202,40.72455435 -74.0000023436
1-00501-7501,1199-R1,105 WOOSTER STREET,SOHO,1,15,1920,31967,900000,28.2,3730002,117,40.7248411 -74.0006739
1-00502-7501,135-R1,426 WEST BROADWAY,SOHO,1,35,1900,34821,905346,26,3750001,108,40.7253191 -74.0014685
1-00512-7501,75-R1,583 BROADWAY,SOHO,1,21,1900,107781,3125649,29,14100001,131,41.0722505703 -73.7708648926
1-00513-7503,1390-R1,19 WEST HOUSTON STREET,SOHO,1,32,2003,56800,2371400,41.8,11600002,204,40.725795 -73.997805
1-00514-7505,1404-R1,160 WOOSTER STREET,SOHO,1,15,2003,41314,1518289,36.7,7070000,171,40.7258618824 -73.9995664118
1-00515-7501,1633-R1,139 WOOSTER STREET,SOHO,1,16,2006,38591,1620822,42,7960007,206,40.7258242 -73.9998646
1-00515-7502,1941-R1,149 WOOSTER STREET,SOHO,1,11,1915,37403,1122090,30,5229997,140,40.7257825294 -73.9998906471
1-00520-7501,66-R1,27 KING STREET,SOHO,1,38,1900,33383,898002,26.9,3720000,111,43.2736320488 -73.5959668537
1-00594-7503,1399-R1,505 GREENWICH STREET,SOHO,1,104,2003,196695,8900448,45.2,43700016,222,40.696381 -73.607984
1-00594-7504,1379-R1,491 GREENWICH STREET,SOHO,1,22,1915,65085,2863740,44,14099998,217,40.696586 -73.608363
1-00594-7505,1585-R1,255 HUDSON STREET,SOHO,1,64,2005,94226,3783174,40.2,18600007,197,43.587636 -73.975318
1-00594-7506,1580-R1,304 SPRING STREET,SOHO,1,13,2005,29579,1345844,45.5,6610001,223,44.279357 -73.9838739
1-00594-7508,1882-R1,475 GREENWICH STREET,SOHO,1,21,2007,40000,1524400,38.1,7098876,177,40.714909 -74.0113489
1-00595-7502,1103-R1,468 GREENWICH STREET,SOHO,1,12,1920,24850,981575,39.5,4820001,194,40.7242255 -74.0095406
1-00595-7503,1238-R1,459 WASHINGTON STREET,SOHO,1,12,1920,31613,803000,25.4,3330000,105,40.72447665 -74.0099253213
1-00595-7504,1616-R1,330 SPRING STREET,SOHO,1,40,2005,68865,3030060,44,14900002,216,40.7258137 -74.0096824238
1-00597-7502,1342-R1,104 CHARLTON STREET,SOHO,1,14,1920,31930,949917,29.7,4419999,138,40.7272263 -74.0082257736
1-00475-7503,916-R1,477 BROOME STREET,SOHO,2,20,1920,32149,803725,25,3330000,104,42.2077470714 -73.8747788214
1-00517-7501,736-R1,131 THOMPSON STREET,SOHO,2,38,1950,20826,520650,25,2160000,104,41.703754 -73.916353
1-00016-7501,308-R1,377 RECTOR PLACE,TRIBECA,1,239,1985,219495,8779800,40,43100005,196,40.70983015 -74.0179134073
1-00016-7502,313-R1,320 ALBANY STREET,TRIBECA,1,133,1986,139719,5588760,40,27399999,196,40.7102298367 -74.0173177551
1-00016-7503,385-R1,250 SOUTH END AVENUE,TRIBECA,1,109,1985,105000,4200000,40,20600009,196,40.7096469 -74.0162503248
1-00016-7504,360-R1,300 ALBANY STREET,TRIBECA,1,107,1986,87479,3499160,40,17199989,197,40.7099316 -74.0167822318
1-00016-7505,371-R1,380 RECTOR PLACE,TRIBECA,1,247,1987,255845,10233800,40,50200004,196,40.70907625 -74.0181847232
1-00016-7506,398-R1,280 RECTOR PLACE,TRIBECA,1,121,1985,106129,4245160,40,20800003,196,40.7088551 -74.0166594
1-00016-7507,450-R1,300 RECTOR PLACE,TRIBECA,1,154,1986,126008,5040320,40,24700011,196,40.7088046 -74.0174481947
1-00016-7509,621-R1,21 SOUTH END AVENUE,TRIBECA,1,182,1988,208281,8331240,40,40900011,196,40.7081905 -74.0177872
1-00016-7510,779-R1,99 BATTERY PLACE,TRIBECA,1,293,1988,341489,13659560,40,67100013,196,40.70766705 -74.0166086165
1-00016-7511,780-R1,2 SOUTH END AVENUE,TRIBECA,1,163,1990,156260,6250400,40,30700002,196,40.70792495 -74.0172185583
1-00016-7513,1217-R1,25 BATTERY PLACE,TRIBECA,1,117,2003,267723,11512089,43,56499997,211,40.7049460263 -74.016103968
1-00016-7514,1623-R1,30 WEST STREET,TRIBECA,1,234,2006,431824,18568432,43,91199996,211,44.5258467443 -73.4123873744
1-00016-7515,1848-R1,225 RECTOR PLACE,TRIBECA,1,304,1985,257848,10313920,40,50600031,196,40.7092957 -74.0161233
1-00016-7516,1858-R1,1 RIVER TERRACE,TRIBECA,1,256,2006,434398,18679114,43,91699998,211,40.718114 -74.015194
1-00016-7517,1902-R1,70 BATTERY PLACE,TRIBECA,1,249,2006,438177,21908850,50,107999966,246,40.70729005 -74.0175272411
1-00132-7501,401-R1,295 GREENWICH STREET,TRIBECA,1,128,1987,115909,4056815,35,18900006,163,40.7159229 -74.0108427
1-00132-7501,401-R2,275 GREENWICH STREET,TRIBECA,1,133,1987,138016,4830560,35,22499996,163,40.7151714 -74.0110643
1-00132-7503,1042-R1,71 MURRAY STREET,TRIBECA,1,11,2001,54500,2400000,44,11800003,217,40.7852987 -73.8118713
1-00137-7503,1593-R1,92 WARREN STREET,TRIBECA,1,12,1920,30062,961984,32,4480000,149,40.7156252 -74.0106847908
1-00140-7501,499-R1,165 CHAMBERS STREET,TRIBECA,1,83,1987,89377,3575080,40,17600004,197,40.7162425 -74.0105801
1-00140-7502,594-R1,311 GREENWICH STREET,TRIBECA,1,80,1988,66551,2662040,40,13100003,197,40.7166386 -74.0107065
1-00140-7505,1847-R1,157 CHAMBERS STREET,TRIBECA,1,38,1931,87334,3144024,36,14600007,167,40.7161413 -74.0103006
1-00141-7504,996-R1,166 DUANE STREET,TRIBECA,1,30,1910,92487,3150000,34.1,14700001,159,40.7169135 -74.0093365
1-00142-7501,1507-R2,99 WARREN STREET,TRIBECA,1,220,2006,535060,32103600,60,158000003,295,43.310087 -73.639201
1-00142-7502,1629-R1,200 CHAMBERS STREET,TRIBECA,1,311,2005,314373,17919261,57,88000018,280,40.7168247 -74.0124551
1-00144-7502,1597-R1,36 HUDSON STREET,TRIBECA,1,12,1910,27928,893696,32,4159998,149,42.6965301458 -73.6980578958
1-00179-7506,1196-R1,14 LEONARD STREET,TRIBECA,1,31,1915,88615,2481000,28,10300000,116,40.7038559 -73.9457048
1-00180-7502,198-R1,67 HUDSON STREET,TRIBECA,1,20,1915,20750,612125,29.5,2850003,137,40.71812125 -74.0092444303
1-00188-7502,1063-R1,387 GREENWICH STREET,TRIBECA,1,36,1915,86451,2982560,34.5,13899999,161,40.6982180677 -73.6113054316
1-00188-7503,1155-R1,53 NORTH MOORE STREET,TRIBECA,1,46,1910,83020,2864190,34.5,13300004,160,40.7200872 -74.0088971
1-00188-7505,1986-R1,48 BEACH STREET,TRIBECA,1,25,1930,94532,2646896,28,11000000,116,40.7205944 -74.0094133
1-00189-7502,430-R1,104 HUDSON STREET,TRIBECA,1,14,1921,40581,1136268,28,4709999,116,43.2971611429 -73.6317201429
1-00189-7507,1052-R1,132 FRANKLIN STREET,TRIBECA,1,13,1915,53468,1630774,30.5,7599998,142,40.7294287 -73.95731825
1-00190-7503,956-R1,31 NORTH MOORE STREET,TRIBECA,1,23,1915,86900,2700000,31.1,12600000,145,40.719952 -74.0077383846
1-00190-7504,1045-R1,27 NORTH MOORE STREET,TRIBECA,1,57,1905,150010,4875000,32.5,22699999,151,40.7199406 -74.0074462
1-00190-7505,1181-R1,25 NORTH MOORE STREET,TRIBECA,1,33,1924,119996,4439852,37,20700000,173,40.7199112 -74.0071525
1-00190-7506,2009-R1,124 HUDSON STREET,TRIBECA,1,26,2000,68033,2517221,37,11700002,172,40.7203212 -74.008177
1-00193-7501,120-R1,395 BROADWAY,TRIBECA,1,64,1915,119640,3948120,33,18400018,154,40.7072449 -73.9541286
1-00193-7509,1624-R1,51 WALKER STREET,TRIBECA,1,15,2005,34587,1435360,41.5,7049999,204,40.630309 -74.1422355556
1-00212-7501,44-R1,260 WEST BROADWAY,TRIBECA,1,50,1915,122640,3832500,31.3,17899998,146,40.7204466 -74.0055613
1-00212-7503,1844-R1,1 YORK STREET,TRIBECA,1,34,1890,67451,2160000,32,10104117,150,40.7215033 -74.0055845
1-00214-7503,1388-R1,7 HUBERT STREET,TRIBECA,1,35,2004,138798,4684432,33.7,21320882,154,40.721291 -74.00890475
1-00215-7502,1393-R1,161 HUDSON STREET,TRIBECA,1,24,1930,66444,1926876,29,8979998,135,40.694733697 -73.398832303
1-00217-7501,1243-R1,79 LAIGHT STREET,TRIBECA,1,33,1853,100894,3279055,32.5,15299993,152,40.7221297 -74.010837
1-00218-7501,1457-R1,92 LAIGHT STREET,TRIBECA,1,65,2004,163128,6239646,38.3,30599995,188,40.7217663 -74.0057638
1-00219-7501,944-R1,429 GREENWICH STREET,TRIBECA,1,28,1920,88897,2533564,28.5,10500000,118,40.7224433 -74.0095775
1-00219-7502,1003-R1,39 VESTRY STREET,TRIBECA,1,16,1930,37785,1076872,28.5,4460000,118,40.7225421 -74.0090674444
1-00219-7504,1191-R1,169 HUDSON STREET,TRIBECA,1,12,1915,51647,1498000,29,6979999,135,40.7223469 -74.0085109803
1-00220-7502,2002-R1,28 LAIGHT STREET,TRIBECA,1,31,1920,94924,3156000,33.2,14699999,155,40.7217663 -74.0057638
1-00220-7503,1392-R1,38 LAIGHT STREET,TRIBECA,1,33,1900,73257,1941310,26.5,8039998,110,40.7219887778 -74.0076313333
1-00222-7501,136-R1,28 VESTRY STREET,TRIBECA,1,20,1962,36435,1065724,29.3,4959999,136,40.7227619 -74.0084812
1-00222-7502,1064-R1,195 HUDSON STREET,TRIBECA,1,27,1920,88496,2744000,31,12799997,145,40.723059 -74.0082206
1-00143-7501,328-R1,8 JAY STREET,TRIBECA,2,13,1915,19882,520000,26.2,2150000,108,40.7178217 -74.0096657959
1-00189-7501,229-R1,220 WEST BROADWAY,TRIBECA,2,24,1915,52735,1423845,27,5900000,112,40.7174285 -74.0075066
1-00189-7508,1061-R1,38 NORTH MOORE STREET,TRIBECA,2,11,1915,18315,504000,27.5,2090000,114,40.719792 -74.0079945
1-00225-7501,1321-R1,465 GREENWICH STREET,TRIBECA,2,38,1910,73919,1995813,27,8270000,112,40.6969866667 -73.609101
1-01373-7501,1518-R1,455 MAIN STREET,UPPER EAST SIDE,1,230,2004,184076,7920000,43,38900001,211,40.7593405 -73.9527204
1-01373-7502,1714-R1,425 MAIN STREET,UPPER EAST SIDE,1,216,2006,185948,8000000,43,39300015,211,40.75881 -73.9533573
1-01373-7503,1980-R1,415 MAIN STREET,UPPER EAST SIDE,1,123,2007,158770,6830000,43,33500000,211,40.75827055 -73.9536208485
1-01374-7502,1304-R1,502 PARK AVENUE,UPPER EAST SIDE,1,126,2002,220037,10780000,49,52899995,240,40.76323425 -73.9701046413
1-01377-7501,14-R1,817 5 AVENUE,UPPER EAST SIDE,1,16,1925,58566,2400000,41,11799999,201,40.614211 -73.8999599
1-01379-7502,1015-R1,610 PARK AVENUE,UPPER EAST SIDE,1,66,1925,185696,8915000,48,43800003,236,40.7666026 -73.967408
1-01379-7504,1160-R1,838 5 AVENUE,UPPER EAST SIDE,1,18,1951,56729,3300000,58,16200000,286,40.614211 -73.8999599
1-01384-7501,897-R1,839 MADISON AVENUE,UPPER EAST SIDE,1,12,1927,56415,2330000,41.3,11399998,202,40.7702811 -73.9663451
1-01388-7501,104-R1,923 5 AVENUE,UPPER EAST SIDE,1,98,1950,153046,6335000,41.4,31099998,203,40.614211 -73.8999599
1-01392-7501,460-R1,1009 MADISON AVENUE,UPPER EAST SIDE,1,111,1958,176897,7425000,42,36399992,206,42.7140742308 -73.6776243077
1-01394-7501,1101-R1,515 PARK AVENUE,UPPER EAST SIDE,1,44,1998,158497,7610000,48,37400000,236,40.7632162 -73.9691648347
1-01395-7502,624-R1,521 PARK AVENUE,UPPER EAST SIDE,1,27,1912,50302,1965000,39.1,9650000,192,40.763626 -73.9689864
1-01395-7503,667-R1,525 PARK AVENUE,UPPER EAST SIDE,1,48,1915,100093,3700000,37,17199993,172,40.7638739 -73.9688009
1-01404-7501,151-R1,715 PARK AVENUE,UPPER EAST SIDE,1,76,1969,106669,4070000,38.2,19999985,187,40.769512 -73.9646755
1-01410-7504,1782-R1,823 PARK AVENUE,UPPER EAST SIDE,1,38,1920,55758,2060000,36.9,9600000,172,40.77312625 -73.9618973068
1-01419-7501,197-R1,1225 2 AVENUE,UPPER EAST SIDE,1,88,1963,124765,5240000,42,25700001,206,40.600834 -74.1458979
1-01436-7501,272-R1,1178 2 AVENUE,UPPER EAST SIDE,1,110,1986,112573,5000000,44.4,24499996,218,40.600834 -74.1458979
1-01443-7501,175-R1,265 1 AVENUE,UPPER EAST SIDE,1,20,1984,22283,895000,40.2,4389999,197,40.614211 -73.8999599
1-01449-7501,196-R1,1439 1 AVENUE,UPPER EAST SIDE,1,197,1985,238634,10700000,44.8,52499955,220,40.614211 -73.8999599
1-01467-7501,687-R1,1356 1 AVENUE,UPPER EAST SIDE,1,28,1910,19747,700000,35.4,3260004,165,40.614211 -73.8999599
1-01487-7501,239-R1,1420 YORK AVENUE,UPPER EAST SIDE,1,95,1956,50038,1600000,32,7449993,149,40.7690621 -73.9517504037
1-01395-7501,87-R1,1010 3 AVENUE,UPPER EAST SIDE,2,166,1963,165925,6970000,42,34200000,206,40.600409 -74.1449409
1-01402-7501,478-R1,1156 3 AVENUE,UPPER EAST SIDE,2,164,1965,129320,4700000,36.3,21900000,169,40.600409 -74.1449409
1-01409-7502,573-R1,1040 LEXINGTON AVENUE,UPPER EAST SIDE,2,55,1929,117892,4300000,36.5,20000000,170,40.7720565 -73.9611785
1-01409-7503,639-R1,1036 LEXINGTON AVENUE,UPPER EAST SIDE,2,32,1925,53255,2080000,39.1,10200000,192,40.7719417 -73.9612691
1-01410-7501,237-R1,1068 LEXINGTON AVENUE,UPPER EAST SIDE,2,81,1961,123370,4330000,35.1,20200000,164,40.7728997 -73.9605732
1-01410-7502,721-R1,1065 LEXINGTON AVENUE,UPPER EAST SIDE,2,30,1925,45621,1590000,34.9,7410000,162,40.7725454 -73.9603892265
1-01425-7501,465-R1,1329 2 AVENUE,UPPER EAST SIDE,2,88,1957,89223,3250000,36.4,15100000,169,40.600834 -74.1458979
1-01445-7501,325-R1,1328 2 AVENUE,UPPER EAST SIDE,2,284,1961,277477,9000000,32.4,41900000,151,40.600834 -74.1458979
1-01458-7501,480-R1,1154 1 AVENUE,UPPER EAST SIDE,2,16,1910,12000,385000,32.1,1790000,149,40.614211 -73.8999599
1-01458-7502,645-R1,1175 YORK AVENUE,UPPER EAST SIDE,2,238,1958,304510,10200000,33.5,47500000,156,40.7615491 -73.9578486
1-01458-7504,1197-R1,1152 1 AVENUE,UPPER EAST SIDE,2,16,1910,4267,203000,47.6,997000,234,40.614211 -73.8999599
1-01473-7503,673-R1,399 1 AVENUE,UPPER EAST SIDE,2,36,1910,21145,680000,32.2,3170000,150,40.614211 -73.8999599
1-01491-7501,26-R1,900 PARK AVENUE,UPPER EAST SIDE,1,126,1973,199534,7500000,37.6,34899979,175,40.7760234 -73.9607672
1-01491-7502,35-R1,988 5 AVENUE,UPPER EAST SIDE,1,13,1926,50888,2100000,41.3,10300000,202,40.614211 -73.8999599
1-01493-7501,51-R1,1080 MADISON AVENUE,UPPER EAST SIDE,1,32,1981,50384,1850000,36.7,8620000,171,40.77798915 -73.9612064572
1-01493-7504,912-R1,944 PARK AVENUE,UPPER EAST SIDE,1,23,1929,52387,1850000,35.3,8620000,165,40.7773475 -73.9596744194
1-01497-7501,825-R1,1049 5 AVENUE,UPPER EAST SIDE,1,54,1928,140295,6050000,43.1,29700003,212,40.614211 -73.8999599
1-01497-7501,825-R2,1049 5 AVENUE,UPPER EAST SIDE,1,12,1928,3812,164000,43,822999,216,40.614211 -73.8999599
1-01510-7501,1698-R1,1438 3 AVENUE,UPPER EAST SIDE,1,94,1985,138096,5750000,41.6,28199992,204,40.600409 -74.1449409
1-01512-7502,1824-R1,1474 3 AVENUE,UPPER EAST SIDE,1,33,1981,59931,2200000,36.7,10200002,170,40.600409 -74.1449409
1-01518-7501,170-R1,1354 LEXINGTON AVENUE,UPPER EAST SIDE,1,104,1962,88510,3100000,35,14400001,163,40.7819413 -73.953977
1-01524-7501,526-R1,1235 PARK AVENUE,UPPER EAST SIDE,1,59,1928,95534,3250000,34,15099998,158,40.7862102 -73.9524928
1-01527-7501,172-R1,1441 3 AVENUE,UPPER EAST SIDE,1,61,1985,99039,3680000,37.2,17100000,173,40.600409 -74.1449409
1-01536-7501,1277-R1,1601 3 AVENUE,UPPER EAST SIDE,1,1258,1975,1496819,55380000,37,258000011,172,40.600409 -74.1449409
1-01539-7501,234-R1,1801 2 AVENUE,UPPER EAST SIDE,1,290,1985,391767,14400000,36.8,67100017,171,40.600834 -74.1458979
1-01547-7501,1346-R1,1628 2 AVENUE,UPPER EAST SIDE,1,14,1915,7921,280000,35.3,1300000,164,40.600834 -74.1458979
1-01552-7501,322-R1,1724 2 AVENUE,UPPER EAST SIDE,1,26,1910,13796,500000,36.2,2330001,169,40.600834 -74.1458979
1-01552-7502,507-R1,1730 2 AVENUE,UPPER EAST SIDE,1,31,1987,25593,1025000,40.1,5029998,197,40.600834 -74.1458979
1-01554-7501,2006-R1,1760 2 AVENUE,UPPER EAST SIDE,1,154,2000,181821,7750000,42.6,38799996,213,40.600834 -74.1458979
1-01555-7501,524-R1,1776 2 AVENUE,UPPER EAST SIDE,1,221,1987,220209,8590000,39,42200003,192,40.600834 -74.1458979
1-01557-7501,483-R1,1838 2 AVENUE,UPPER EAST SIDE,1,18,1987,17550,650000,37,3030001,173,40.600834 -74.1458979
1-01578-7501,517-R1,52 EAST END AVENUE,UPPER EAST SIDE,1,82,1988,118052,4800000,40.7,23600003,200,40.7722881 -73.9469856
1-01578-7502,1481-R1,48 EAST END AVENUE,UPPER EAST SIDE,1,32,1910,12888,425000,33,1979996,154,40.7721722 -73.9471284276
1-01580-7501,1130-R1,90 EAST END AVENUE,UPPER EAST SIDE,1,40,1999,119396,5225000,43.8,25599994,214,40.773465 -73.9460559
1-01584-7501,1837-R1,170 EAST END AVENUE,UPPER EAST SIDE,1,96,2005,268404,10750000,40.1,52799998,197,40.77608735 -73.9442930201
1-01493-7503,180-R1,1082 MADISON AVENUE,UPPER EAST SIDE,2,17,1910,22751,835039,36.7,3890000,171,42.715552 -73.686156
1-01495-7501,365-R1,1114 MADISON AVENUE,UPPER EAST SIDE,2,56,1938,83594,3300000,39.5,16200000,194,40.7791159 -73.9602695
1-01501-7501,810-R1,1239 MADISON AVENUE,UPPER EAST SIDE,2,251,1969,487413,13700000,28.1,56700000,116,42.700912 -73.8162739
1-01607-7501,1669-R1,1200 5 AVENUE,UPPER EAST SIDE,1,51,1928,120464,4430000,36.8,20599996,171,40.614211 -73.8999599
1-01613-7501,267-R1,1255 5 AVENUE,UPPER EAST SIDE,1,59,1925,63284,1800000,28.4,7460003,118,40.614211 -73.8999599
1-01614-7501,1285-R1,1630 MADISON AVENUE,UPPER EAST SIDE,1,11,2003,7742,200000,25.8,828001,107,40.7955079 -73.9483077
1-00849-7507,160-R1,2001 BROADWAY,UPPER WEST SIDE,1,680,1965,665236,24613732,37,114999959,173,40.7667393 -73.9817727
1-01113-7502,953-R1,1 CENTRAL PARK WEST,UPPER WEST SIDE,1,158,1960,415113,18264972,44,89700004,216,40.769114 -73.981821
1-01114-7503,1653-R1,15 CENTRAL PARK WEST,UPPER WEST SIDE,1,202,2005,730068,41613876,57,204000017,279,40.7697087 -73.981078463
1-01115-7501,612-R1,25 CENTRAL PARK WEST,UPPER WEST SIDE,1,425,1932,598316,21539376,36,100000005,167,40.7704241 -73.9812330602
1-01131-7501,1055-R1,2 COLUMBUS AVENUE,UPPER WEST SIDE,1,133,1998,239035,10039470,42,49299995,206,40.7732296 -73.9815958
1-01138-7501,921-R1,144 COLUMBUS AVENUE,UPPER WEST SIDE,1,143,1995,271808,11959552,44,58700004,216,43.0484257647 -76.1214618235
1-01138-7502,966-R1,1965 BROADWAY,UPPER WEST SIDE,1,199,1997,320750,14113000,44,69299975,216,40.7744037 -73.9824956
1-01139-7501,351-R1,1991 BROADWAY,UPPER WEST SIDE,1,75,1985,68609,2881578,42,14100003,206,40.7752605 -73.982617664
1-01139-7503,893-R1,1992 BROADWAY,UPPER WEST SIDE,1,281,1992,325921,14340524,44,70399967,216,40.7749681 -73.9818985
1-01140-7502,417-R1,2000 BROADWAY,UPPER WEST SIDE,1,161,1987,239435,10056270,42,49400003,206,40.7753791 -73.9812499
1-01141-7501,31-R1,210 COLUMBUS AVENUE,UPPER WEST SIDE,1,83,1903,95930,3165690,33,14699999,153,40.7760753 -73.9800106
1-01150-7502,159-R1,386 COLUMBUS AVENUE,UPPER WEST SIDE,1,23,1988,47376,1800288,38,8390000,177,40.78172425 -73.9759852654
1-01151-7502,1719-R1,10 WEST END AVENUE,UPPER WEST SIDE,1,172,2005,213067,8948814,42,43900021,206,40.5779510204 -73.9529081429
1-01158-7506,1803-R1,200 WEST END AVENUE,UPPER WEST SIDE,1,170,2006,223560,8405856,37.6,39200002,175,40.7778998 -73.9854488
1-01164-7501,731-R1,2081 BROADWAY,UPPER WEST SIDE,1,202,1991,265469,10618760,40,52100011,196,40.7791422 -73.9821321
1-01165-7503,799-R1,2101 BROADWAY,UPPER WEST SIDE,1,465,1902,446600,12504800,28,51800007,116,40.7797817 -73.9819746
1-01165-7505,1674-R1,2112 BROADWAY,UPPER WEST SIDE,1,29,1928,132048,5149872,39,25300000,192,40.77982095 -73.9811639178
1-01166-7501,344-R1,2120 BROADWAY,UPPER WEST SIDE,1,92,1922,54975,1759200,32,8190004,149,40.7802798 -73.9811988
1-01171-7501,1058-R1,200 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,372,1997,512280,23052600,45,113000001,221,40.7790225 -73.9877284824
1-01171-7502,1262-R1,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,422,2000,602694,27121230,45,132999960,221,40.7796941 -73.9875483065
1-01171-7503,1401-R1,240 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,167,2004,322204,14499180,45,71199970,221,40.78029085 -73.9871450684
1-01171-7504,1463-R1,120 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,277,2004,263003,11835135,45,58100023,221,40.7766224 -73.9890983
1-01171-7505,1807-R1,100 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,266,2006,388033,17461485,45,85699979,221,40.77572235 -73.9895389434
1-01171-7507,1992-R1,80 RIVERSIDE BOULEVARD,UPPER WEST SIDE,1,271,2006,572768,29783936,52,145999994,255,40.7751167 -73.9902834291
1-01182-7501,547-R1,235 WEST END AVENUE,UPPER WEST SIDE,1,148,1930,152076,4714356,31,21999988,145,40.7790174 -73.9852779
1-01184-7501,1631-R1,22 RIVERSIDE DRIVE,UPPER WEST SIDE,1,25,1931,45968,1287104,28,5330003,116,40.781887 -73.9848518
1-01141-7502,601-R1,2021 BROADWAY,UPPER WEST SIDE,2,272,1977,218992,9197664,42,45200000,206,40.7667393 -73.9817727
1-01146-7501,270-R1,306 COLUMBUS AVENUE,UPPER WEST SIDE,2,62,1952,70100,2103000,30,9800000,140,40.77915 -73.9777611
1-01151-7501,759-R2,2 AMSTERDAM AVENUE,UPPER WEST SIDE,2,132,1991,92422,3881724,42,19100000,207,40.7936787 -73.9708687
1-01158-7501,408-R1,160 WEST END AVENUE,UPPER WEST SIDE,2,508,1963,471630,13205640,28,54700000,116,40.7769372083 -73.986445125
1-01158-7502,410-R1,180 WEST END AVENUE,UPPER WEST SIDE,2,452,1965,493268,13811504,28,57200000,116,40.7773597 -73.98542965
1-01158-7503,414-R1,150 WEST END AVENUE,UPPER WEST SIDE,2,454,1963,452258,12663224,28,52500000,116,40.776586 -73.9859918358
1-01158-7504,407-R1,140 WEST END AVENUE,UPPER WEST SIDE,2,561,1964,640079,17922212,28,74200000,116,40.7760288 -73.9865493
1-01158-7505,409-R1,170 WEST END AVENUE,UPPER WEST SIDE,2,484,1965,474360,13282080,28,55000000,116,40.7772074167 -73.98624825
1-01167-7501,650-R1,2138 BROADWAY,UPPER WEST SIDE,2,110,1924,107050,3318550,31,15500000,145,40.7810253 -73.9809884
1-01170-7501,627-R1,380 AMSTERDAM AVENUE,UPPER WEST SIDE,2,272,1975,226556,7929460,35,36900000,163,40.7827246 -73.9789347
1-01179-7501,411-R1,165 WEST END AVENUE,UPPER WEST SIDE,2,403,1962,421100,11790800,28,48800000,116,40.7771338 -73.9869663214
1-01179-7502,412-R1,185 WEST END AVENUE,UPPER WEST SIDE,2,432,1962,383760,10745280,28,44500000,116,40.7777184 -73.9865439631
1-01179-7503,413-R1,205 WEST END AVENUE,UPPER WEST SIDE,2,543,1962,533710,14943880,28,61900000,116,40.77846945 -73.9863437972
1-01202-7501,692-R1,279 CENTRAL PARK WEST,UPPER WEST SIDE,1,36,1988,115502,4851084,42,23799995,206,40.78689205 -73.9685707435
1-01203-7502,1008-R1,291 CENTRAL PARK WEST,UPPER WEST SIDE,1,11,1960,19902,616962,31,2870000,144,40.7874497 -73.968048
1-01206-7501,1257-R1,327 CENTRAL PARK WEST,UPPER WEST SIDE,1,85,1929,130259,3777511,29,17599993,135,40.7897904 -73.9664892
1-01209-7501,839-R1,353 CENTRAL PARK WEST,UPPER WEST SIDE,1,18,1991,53656,2038928,38,9500002,177,40.791211 -73.9652519
1-01210-7501,204-R1,402 COLUMBUS AVENUE,UPPER WEST SIDE,1,147,1986,215942,9717390,45,47700009,221,40.773334963 -72.9633713704
