MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-00469-7501,390-R1,105 3 AVENUE,EAST VILLAGE,1,16,1920,12192,430000,35.3,1999999,164,40.600409 -74.1449409
1-00432-7502,840-R1,89 AVENUE A,EAST VILLAGE,2,26,1900,21586,540000,25,2240000,104,40.7254017 -73.9841942
1-00446-7501,695-R1,125 EAST 4 STREET,EAST VILLAGE,2,28,2004,17793,640000,36,2980000,167,40.762107 -72.9395529
1-00446-7502,705-R1,99 EAST 4 STREET,EAST VILLAGE,2,66,1920,67764,2150000,31.7,10000000,148,40.762107 -72.9395529
1-00447-7501,777-R1,83 1 AVENUE,EAST VILLAGE,2,20,1900,11574,390000,33.7,1820000,157,40.614211 -73.8999599
1-00466-7501,1804-R1,47 3 AVENUE,EAST VILLAGE,2,28,2006,30662,1475000,48.1,7240000,236,40.600409 -74.1449409
1-00468-7501,203-R1,193 2 AVENUE,EAST VILLAGE,2,16,1900,21607,600000,27.8,2490000,115,40.600834 -74.1458979
1-00469-7502,493-R1,105 3 AVENUE,EAST VILLAGE,2,155,1964,113930,4285440,37.6,20000000,176,40.600409 -74.1449409
1-00521-7501,630-R1,306 MOTT STREET,GREENWICH VILLAGE,1,18,1988,9514,330611,34.7,1540000,162,40.72501635 -73.993841135
1-00522-7501,348-R1,54 BLEECKER STREET,GREENWICH VILLAGE,1,11,1910,31039,807014,26,3340000,108,40.69395115 -73.9221117422
1-00525-7506,1685-R1,184 THOMPSON STREET,GREENWICH VILLAGE,1,144,1910,85234,2642254,31,12300000,144,40.7281668 -73.9997694
1-00529-7502,494-R1,7 BOND STREET,GREENWICH VILLAGE,1,20,1904,24630,735000,29.8,3420002,139,40.7265629 -73.9945673
1-00529-7504,631-R1,1 BOND STREET,GREENWICH VILLAGE,1,21,1900,41990,1165222,27.7,4829999,115,40.7266559 -73.9947551139
1-00530-7505,1721-R1,40 BOND STREET,GREENWICH VILLAGE,1,26,2006,85000,3570000,42,17499997,206,40.688567 -73.98384275
1-00531-7501,70-R1,692 BROADWAY,GREENWICH VILLAGE,1,56,1912,92500,3237500,35,15099995,163,41.0724619318 -73.7711962331
1-00544-7501,2004-R1,56 COOPER SQUARE,GREENWICH VILLAGE,1,25,1920,88353,3401591,38.5,16700000,189,40.7290658 -73.9911547
1-00545-7503,1341-R1,21 ASTOR PLACE,GREENWICH VILLAGE,1,50,1930,96566,2703848,28,11199999,116,40.7300594167 -73.9922025
1-00552-7501,349-R1,360 6 AVENUE,GREENWICH VILLAGE,1,28,1986,43106,1153085,26.7,4780002,111,40.614211 -73.8999599
1-00552-7504,1660-R1,88 WEST WASHINGTON PLACE,GREENWICH VILLAGE,1,28,1966,32116,1082819,33.7,5040003,157,40.7319564 -74.0004078243
1-00558-7502,446-R1,115 4 AVENUE,GREENWICH VILLAGE,1,70,1905,90082,2605171,28.9,12099998,134,40.6006278 -74.1427664
1-00559-7501,1742-R1,108 3 AVENUE,GREENWICH VILLAGE,1,84,2006,100500,4422000,44,21700001,216,40.600409 -74.1449409
1-00567-7501,1177-R1,23 5 AVENUE,GREENWICH VILLAGE,1,89,1921,81875,3070312,37.5,14300004,175,40.590221 -73.9535149
1-00569-7504,1028-R1,13 EAST 11 STREET,GREENWICH VILLAGE,1,115,1903,60860,1764940,29,8220008,135,40.7264834 -73.9771352
1-00525-7501,150-R1,156 BLEECKER STREET,GREENWICH VILLAGE,2,190,1910,132000,3346200,25.4,13900000,105,40.69629835 -73.9197713133
1-00525-7503,646-R1,177 THOMPSON STREET,GREENWICH VILLAGE,2,54,1958,23688,615888,26,2550000,108,40.72796255 -74.0003469847
1-00535-7501,295-R1,14 WEST 4 STREET,GREENWICH VILLAGE,2,273,1908,290492,9586236,33,44700000,154,40.762107 -72.9395529
1-00540-7501,567-R1,173 BLEECKER STREET,GREENWICH VILLAGE,2,18,1900,15744,421152,26.8,1740000,111,40.6969526 -73.9195747
