MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00464-7503,1959-R1,133 2 AVENUE,EAST VILLAGE,1,12,1920,13648,533180,39.07,2563002,187.79
1-00465-7501,1972-R1,38 STUYVESANT STREET,EAST VILLAGE,0,12,1900,14269,483862,33.91,2563001,179.62
1-00466-7501,1804-R1,47 3 AVENUE,EAST VILLAGE,2,28,2006,30662,1398494,45.61,8720000,284.39
1-00469-7501,0390-R1,105 3 AVENUE,EAST VILLAGE,1,16,1920,12192,410383,33.66,2173000,178.23
1-00469-7502,0493-R1,105 3 AVENUE,EAST VILLAGE,2,155,1964,113930,4223378,37.07,21284000,186.82
1-00521-7501,0630-R1,306 MOTT STREET,GREENWICH VILLAGE,1,18,1988,9514,362008,38.05,1693997,178.05
1-00521-7502,1149-R1,298 ELIZABETH STREET,GREENWICH VILLAGE,0,4,1926,6188,162744,26.3,770001,124.43
1-00521-7503,1383-R1,304 BOWERY,GREENWICH VILLAGE,0,1,1910,7157,178066,24.88,722999,101.02
1-00522-7501,0348-R1,54 BLEECKER STREET,GREENWICH VILLAGE,1,11,1910,31039,843330,27.17,3734001,120.3
1-00525-7501,0150-R1,156 BLEECKER STREET,GREENWICH VILLAGE,2,190,1910,132000,3498000,26.5,14798000,112.11
1-00525-7502,0212-R1,496 LA GUARDIA PLACE,GREENWICH VILLAGE,1,11,1910,6670,172553,25.87,766999,114.99
1-00525-7503,0646-R1,177 THOMPSON STREET,GREENWICH VILLAGE,2,54,1958,23688,612809,25.87,2723000,114.95
1-00525-7506,1685-R1,184 THOMPSON STREET,GREENWICH VILLAGE,1,144,1910,85234,2635435,30.92,12685002,148.83
1-00529-7502,0494-R1,7 BOND STREET,GREENWICH VILLAGE,1,20,1904,24630,742102,30.13,3505997,142.35
1-00529-7503,0581-R1,17 BOND STREET,GREENWICH VILLAGE,1,10,1900,14608,428453,29.33,1892002,129.52
1-00529-7504,0631-R1,1 BOND STREET,GREENWICH VILLAGE,1,21,1900,41990,1140868,27.17,5051001,120.29
1-00529-7507,1319-R1,57 BOND STREET,GREENWICH VILLAGE,1,10,2002,24910,916439,36.79,4675001,187.68
1-00530-7502,0999-R1,27 GREAT JONES STREET,GREENWICH VILLAGE,1,10,1900,18572,480643,25.88,2044001,110.06
1-00530-7503,1200-R1,47 GREAT JONES STREET,GREENWICH VILLAGE,1,1,1910,2527,55240,21.86,243000,96.16
1-00530-7505,1721-R1,40 BOND STREET,GREENWICH VILLAGE,1,26,2006,85000,3461200,40.72,17914001,210.75
1-00531-7501,0070-R1,692 BROADWAY,GREENWICH VILLAGE,1,56,1912,92500,3403075,36.79,16410007,177.41
1-00535-7501,0295-R1,14 WEST 4 STREET,GREENWICH VILLAGE,2,273,1908,290492,9220216,31.74,44526000,153.28
1-00537-7502,0302-R1,5420 WEST BROADWAY,GREENWICH VILLAGE,1,10,1928,18064,498024,27.57,2123004,117.53
1-00540-7501,0567-R1,173 BLEECKER STREET,GREENWICH VILLAGE,2,18,1900,15744,428394,27.21,1783000,113.25
1-00542-7501,0484-R1,205 BLEECKER STREET,GREENWICH VILLAGE,2,24,1928,17842,485481,27.21,2021000,113.27
1-00542-7502,0644-R1,189 BLEECKER STREET,GREENWICH VILLAGE,2,40,1900,22777,658483,28.91,2871000,126.05
1-00544-7501,2004-R1,56 COOPER SQUARE,GREENWICH VILLAGE,1,25,1920,88353,3299985,37.35,16517000,186.94
1-00544-7502,1496-R1,443 LAFAYETTE STREET,GREENWICH VILLAGE,2,39,2004,116535,4944580,42.43,25876000,222.04
1-00545-7502,0992-R1,704 BROADWAY,GREENWICH VILLAGE,1,10,1895,46022,1197953,26.03,5508001,119.68
1-00545-7503,1341-R1,21 ASTOR PLACE,GREENWICH VILLAGE,1,50,1930,96566,2916293,30.2,12319993,127.58
1-00548-7501,0797-R1,60 EAST 8 STREET,GREENWICH VILLAGE,2,390,1965,445151,15188552,34.12,73939000,166.1
1-00552-7501,0349-R1,360 6 AVENUE,GREENWICH VILLAGE,1,28,1986,43106,1188432,27.57,5209999,120.86
1-00552-7504,1660-R1,88 WEST WASHINGTON PLACE,GREENWICH VILLAGE,1,28,1966,32116,1027712,32,5380001,167.52
1-00556-7501,0330-R1,10430 EAST 12 STREET,GREENWICH VILLAGE,1,11,1905,28385,816353,28.76,3800999,133.91
1-00557-7501,0039-R1,806 BROADWAY,GREENWICH VILLAGE,2,65,1900,83089,2156160,25.95,10019000,120.58
1-00558-7501,0210-R1,114 EAST 13 STREET,GREENWICH VILLAGE,1,41,1985,56483,1665119,29.48,7995999,141.56
1-00558-7502,0446-R1,115 4 AVENUE,GREENWICH VILLAGE,1,70,1905,90082,2630394,29.2,12219999,135.65
1-00558-7503,0684-R1,125 EAST 12 STREET,GREENWICH VILLAGE,1,44,1988,57042,1711260,30,7502011,131.52
1-00559-7501,1742-R1,108 3 AVENUE,GREENWICH VILLAGE,1,84,2006,100500,4435065,44.13,22801995,226.89
1-00560-7501,0306-R1,21 UNIVERSITY PLACE,GREENWICH VILLAGE,2,145,1955,136098,3670563,26.97,15908000,116.89
1-00560-7502,0304-R1,40 EAST 9 STREET,GREENWICH VILLAGE,2,150,1959,160209,4591590,28.66,21010000,131.14
1-00560-7503,0303-R1,60 EAST 9 STREET,GREENWICH VILLAGE,2,213,1954,140370,3785779,26.97,16408000,116.89
1-00561-7501,0787-R1,63 EAST 9 STREET,GREENWICH VILLAGE,2,229,1955,209785,5657901,26.97,24536000,116.96
1-00561-7502,2154-R1,28 EAST 10 STREET,GREENWICH VILLAGE,1,102,1928,136144,3901887,28.66,17280554,126.93
1-00563-7501,0298-R1,44 EAST 12 STREET,GREENWICH VILLAGE,1,44,1985,43542,1314968,30.2,6498003,149.24
1-00564-7501,1414-R1,835 BROADWAY,GREENWICH VILLAGE,1,7,1910,18493,498756,26.97,2163001,116.96
1-00567-7501,1177-R1,23 5 AVENUE,GREENWICH VILLAGE,1,89,1921,81875,3104700,37.92,15556006,190
1-00567-7501,1177-R2,23 5 AVENUE,GREENWICH VILLAGE,1,1,1921,3475,131772,37.92,660000,189.93
1-00569-7501,0154-R1,10 EAST 12 STREET,GREENWICH VILLAGE,1,27,1907,66739,1799951,26.97,7805999,116.96
1-00569-7502,0205-R1,8 EAST 12 STREET,GREENWICH VILLAGE,1,12,1908,28097,757776,26.97,3286004,116.95
1-00569-7503,0248-R1,16 EAST 12 STREET,GREENWICH VILLAGE,1,37,1910,52493,1510224,28.77,6957998,132.55
1-00569-7504,1028-R1,13 EAST 11 STREET,GREENWICH VILLAGE,1,115,1903,60860,1799630,29.57,8404981,138.1
1-00571-7501,0027-R1,7 EAST 13 STREET,GREENWICH VILLAGE,2,39,1928,42384,1207096,28.48,5192000,122.5
1-00571-7503,1394-R1,10 EAST 14 STREET,GREENWICH VILLAGE,1,7,1930,23079,560820,24.3,2400999,104.03
1-00571-7505,1694-R1,8 UNION SQUARE SOUTH,GREENWICH VILLAGE,1,20,2006,36330,1718772,47.31,9045002,248.97
1-00572-7501,0747-R1,12 WEST 9 STREET,GREENWICH VILLAGE,2,23,1952,13256,386280,29.14,1672000,126.13
1-00572-7502,1256-R1,30 WEST 9 STREET,GREENWICH VILLAGE,0,18,1900,14398,419558,29.14,1947004,135.23
1-00573-7502,0089-R1,69 WEST 9 STREET,GREENWICH VILLAGE,2,119,1959,94250,2537210,26.92,10842000,115.03
1-00575-7501,0515-R1,53 WEST 11 STREET,GREENWICH VILLAGE,2,15,1900,9380,246694,26.3,1114000,118.76
1-00575-7502,1895-R1,31 WEST 11 STREET,GREENWICH VILLAGE,1,17,1912,34118,897303,26.3,3882996,113.81
1-00576-7501,0003-R1,60 WEST 13 STREET,GREENWICH VILLAGE,1,70,1966,82017,2359629,28.77,10760004,131.19
1-00576-7502,0421-R1,59 WEST 12 STREET,GREENWICH VILLAGE,1,105,1931,112050,4293756,38.32,21367002,190.69
1-00576-7503,0886-R1,8 WEST 13 STREET,GREENWICH VILLAGE,2,30,1910,34168,1024698,29.99,4458000,130.47
1-00577-7502,1180-R1,65 WEST 13 STREET,GREENWICH VILLAGE,1,77,1906,201330,6784821,33.7,33612001,166.95
1-00577-7504,2158-R1,14 WEST 14 STREET,GREENWICH VILLAGE,1,30,2008,33170,1697641,51.18,9230999,278.29
1-00528-7501,0426-R1,63 DOWNING STREET,GREENWICH VILLAGE,1,32,1986,35225,1114519,31.64,5502998,156.22
1-00528-7502,0495-R1,3 BEDFORD STREET,GREENWICH VILLAGE,1,12,1986,15990,505924,31.64,2452998,153.41
1-00584-7501,0743-R1,442 HUDSON STREET,GREENWICH VILLAGE,2,169,1925,100633,2727154,27.1,11693000,116.19
1-00587-7501,0293-R1,76 BEDFORD STREET,GREENWICH VILLAGE,0,30,1929,19320,513139,26.56,2174002,112.53
1-00589-7501,0048-R1,2 CORNELIA STREET,GREENWICH VILLAGE,1,43,1929,66282,2016961,30.43,9369003,141.35
1-00590-7502,0608-R1,9 BARROW STREET,GREENWICH VILLAGE,2,86,1930,89510,2583259,28.86,10703000,119.57
1-00592-7501,0562-R1,1 SHERIDAN SQUARE,GREENWICH VILLAGE,1,45,1900,21494,630419,29.33,2673000,124.36
1-00593-7501,0663-R1,10 CHRISTOPHER STREET,GREENWICH VILLAGE,2,30,1910,21738,587361,27.02,2550000,117.31
