 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value,,,,,
1-00721-7501,443-R1,0,2,713,1920,616965,25912530,42,123000000,199,231.3375,30123316.13,48.825,,,,,,
1-00738-7501,615-R1,0,2,117,1973,110995,3670000,33.1,16800000,151,175.5375,4270948.856,38.47875,,,,,,
1-00745-7502,739-R1,0,2,218,1963,196721,5600000,28.5,25600000,130,151.125,6517612.631,33.13125,,,Normalizing Growth Rate,2008,2009,2010
1-00745-7503,1044-R1,0,2,70,1998,66668,2650000,39.7,12600000,189,219.7125,3076811.535,46.15125,,,0,128.97%,116.25%,120.10%
1-00746-7503,206-R1,0,2,221,1931,151785,4400000,29,20100000,132,153.45,5117051.813,33.7125,,,1,130.89%,121.67%,122.42%
1-00769-7503,502-R1,0,2,197,1980,117094,3864102,33,17700000,151,175.5375,4492018.575,38.3625,,,2,121.04%,115.16%,114.75%
1-00792-7503,467-R1,0,2,14,1906,31650,855000,27,3920000,124,144.15,993414.375,31.3875,,,3,97.65%,92.23%,93.74%
1-00792-7504,710-R1,0,2,155,1930,138320,4300000,31.1,19700000,142,165.075,5000786.7,36.15375,,,4,122.96%,114.09%,110.65%
1-00693-7501,1134-R1,0,1,12,1930,28207,990000,35.1,4740003,168,195.3,1150951.376,40.80375,,,5,115.42%,110.32%,109.92%
1-00694-7501,964-R1,0,1,30,1930,72274,2250000,31.1,10800002,149,173.2125,2612976.128,36.15375,,,6,106.25%,105.78%,109.85%
1-00695-7503,1466-R1,0,1,336,2005,272102,11750000,43.2,58899994,216,251.1,13664962.44,50.22,,,7,113.80%,114.09%,106.70%
1-00695-7504,1523-R1,0,1,22,2004,49658,2300000,46.3,11499999,232,269.7,2672779.778,53.82375,,,8,126.51%,116.66%,112.81%
1-00695-7505,1752-R1,0,1,11,2005,24000,1050000,43.8,5270000,220,255.75,1222020,50.9175,,,9,117.55%,111.01%,114.82%
1-00714-7501,1900-R1,0,1,181,2006,173100,7443300,43,37299980,215,249.9375,8652836.25,49.9875,,,,,,
1-00714-7501,1900-R2,0,1,288,2006,264402,11369286,43,54000442,204,237.15,13216794.98,49.9875,,,,,,
1-00716-7501,1477-R1,0,1,42,1900,49892,2195248,44,11000012,220,255.75,2551975.8,51.15,,,,,,
1-00716-7502,1566-R1,0,1,20,1920,22920,916800,40,4600003,201,233.6625,1065780,46.5,,,,,,
1-00716-7503,1871-R1,0,1,43,2007,73263,3150309,43,16695367,228,265.05,3662234.213,49.9875,,,,,,
1-00717-7501,572-R1,0,1,71,1989,54355,2391620,44,11999985,221,256.9125,2780258.25,51.15,,,,,,
1-00720-7501,228-R1,0,1,39,1985,37431,1497240,40,7509994,201,233.6625,1740541.5,46.5,,,,,,
1-00720-7502,368-R1,0,1,11,1900,8408,395176,47,1980003,235,273.1875,459392.1,54.6375,,,,,,
1-00722-7501,1819-R1,0,1,79,1912,97500,3705000,38,18600000,191,222.0375,4307062.5,44.175,,,,,,
1-00723-7501,1499-R1,0,1,52,1914,96088,3651344,38,18299997,190,220.875,4244687.4,44.175,,,,,,
1-00738-7502,1326-R1,0,1,22,1930,37402,1250000,33.4,5990005,160,186,1452226.155,38.8275,,,,,,
1-00742-7501,142-R1,0,1,60,1950,52698,1490000,28.3,7139994,135,156.9375,1733698.328,32.89875,,,,,,
1-00746-7502,124-R1,0,1,44,1985,53937,2000000,37.1,10000002,185,215.0625,2326235.389,43.12875,,,,,,
1-00746-7504,309-R1,0,1,26,1920,30908,1030000,33.3,4930000,160,186,1196487.315,38.71125,,,,,,
