 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-00795-7501,1552-R1,0,1,67,1903,120050,4800000,40,24099996,201,259.2403408,6193393.614,51.59011757,31121802.91
1-00796-7501,393-R1,0,1,45,1987,31800,986000,31,4779998,150,193.4629409,1271438.448,39.98234112,6152121.521
1-00796-7502,781-R1,0,1,28,1875,41294,1074000,26,5199998,126,162.5088703,1384735.505,33.53357642,6710641.29
1-00796-7503,1116-R1,0,1,15,1905,32085,963000,30,4670002,146,188.3039291,1241451.692,38.69258818,6041731.565
1-00796-7504,1437-R1,0,1,49,1900,84890,3650000,43,18400002,217,279.8763878,4707946.462,55.45937639,23758706.56
1-00797-7502,1122-R1,0,1,22,1911,51048,1535000,30.1,7440001,146,188.3039291,1981763.172,38.82156347,9612538.973
1-00797-7505,1372-R1,0,1,13,2003,27270,1010000,37,5080001,186,239.8940467,1301347.818,47.72085875,6541910.654
1-00798-7502,177-R1,0,1,120,1973,119125,4527000,38,22800009,191,246.3428114,5838389.118,49.01061169,29345587.41
1-00798-7503,729-R1,0,1,21,1950,28124,984000,35,3933321,140,180.5654115,1269555.408,45.14135287,5078221.633
1-00800-7501,970-R1,0,1,34,1911,81331,3255000,40,16399999,202,260.5300937,4195875.852,51.59011757,21189173.05
1-00801-7502,1195-R1,0,1,25,1922,43448,1600000,36.8,8039998,185,238.6042938,2062168.434,47.46290816,10366879.36
1-00802-7501,848-R1,0,1,27,1911,70181,2527000,36,12700000,181,233.445282,3258581.437,46.43110581,16383423.34
1-00803-7501,766-R1,0,1,93,1926,94649,3597000,38,18099992,191,246.3428114,4638805.386,49.01061169,23316100.76
1-00375-7501,1213-R1,1,1,25,2001,27798,685000,24.64,3060000,110,143.9856764,896563.0984,32.25279151,4002513.833
1-00384-7503,1720-R1,1,1,23,2005,34734,1042000,30,5050002,145,189.7993007,1363963.223,39.26882083,6592488.911
1-00385-7501,1618-R1,1,1,47,2005,36472,1755650,48.1,8830000,242,316.768488,2296313.935,62.9610094,11553180.29
1-00386-7501,548-R1,1,0,13,1920,18990,350000,18.43,1420000,75,98.17205208,458117.5249,24.1241456,1864287.269
1-00389-7501,545-R1,1,2,30,1901,20940,460000,21.97,2060000,98,128.2781481,602189.7237,28.75786646,2686144.421
1-00390-7501,1183-R1,1,1,16,2000,15704,530000,33.7,2570001,164,214.6695539,692734.4617,44.1119754,3371170.674
1-00390-7502,1125-R1,1,2,78,2001,65832,2490000,37.8,12500000,190,248.7025319,3257282.717,49.47871425,16372585.08
1-00392-7501,341-R1,1,1,83,1928,78982,1770000,22.41,7910002,100,130.8960694,2316842.915,29.33380916,10338433.35
1-00393-7501,1138-R1,1,0,35,1999,36046,1200000,33.3,5810006,161,210.7426718,1571187.146,43.58839112,7596430.348
1-00394-7502,1113-R1,1,0,12,2001,14376,469000,32.6,2269998,158,206.8157897,613454.3776,42.67211864,2973183.793
1-00394-7503,1124-R1,1,0,12,2001,11495,390000,33.9,1959999,171,223.8322787,510076.4579,44.37376754,2572952.044
1-00397-7501,489-R1,1,1,21,1920,20038,470000,23.46,2099999,105,137.4408729,615331.2701,30.70821789,2754040.211
1-00397-7502,628-R1,1,1,16,1920,19854,435000,21.91,1939999,98,128.2781481,569399.3942,28.67932881,2546834.352
1-00398-7501,394-R1,1,0,41,1987,35664,1030000,28.9,4989992,140,183.2544972,1349132.175,37.82896407,6535588.388
1-00399-7501,602-R1,1,2,17,1920,21314,465000,21.82,2080000,98,128.2781481,608760.2874,28.56152235,2734120.449
1-00405-7503,1104-R1,1,0,12,1999,14376,485000,33.7,2350002,163,213.3605932,634153.7584,44.1119754,3067271.888
1-00405-7504,1447-R1,1,1,26,1965,29906,1035000,34.6,5199999,174,227.7591608,1354443.937,45.29004003,6811365.463
1-00406-7501,852-R1,1,0,24,1900,15021,265000,17.64,1080002,72,94.24517,346835.8911,23.09006665,1415656.699
1-00407-7501,338-R1,1,0,18,1984,9701,200000,20.62,894000,92,120.4243839,261837.4551,26.99076952,1168236.948
1-00407-7502,1081-R1,1,0,18,1999,19119,555000,29,2690002,141,184.5634579,725754.566,37.95986014,3528668.752
1-00432-7501,714-R1,1,1,32,1991,23605,770000,32.6,3729999,158,206.8157897,1007275.36,42.67211864,4881886.716
1-00432-7502,840-R1,1,2,26,1900,21586,400000,18.53,2939200,136,178.0186544,523569.3295,24.25504167,3842710.674
1-00434-7501,642-R1,1,1,20,1920,11229,240000,21.37,1070000,95,124.351266,314103.0907,27.97249004,1396340.366
1-00438-7502,1207-R1,1,1,13,2001,15742,530000,33.7,2569995,163,213.3605932,694410.7167,44.1119754,3358722.458
1-00440-7502,1264-R1,1,1,27,1900,30462,890000,29.2,4310001,141,184.5634579,1164307.972,38.22165228,5622172.055
1-00440-7503,1503-R1,1,0,13,1900,20099,360000,17.91,1459996,73,95.55413069,471190.6259,23.44348604,1920542.473
1-00441-7501,292-R1,1,1,40,1911,25528,709000,27.8,3439996,135,176.7096937,928941.1312,36.3891073,4511045.061
1-00441-7503,1766-R1,1,1,96,2007,93382,4098428,43.9,20599997,221,289.2803135,5366044.836,57.46337448,27013574.24
1-00444-7501,271-R1,1,1,20,1900,17225,445000,25.8,2160000,125,163.6200868,581708.6775,33.77118592,2818355.995
1-00446-7501,695-R1,1,2,28,2004,17793,465000,26.1,2250000,126,164.9290475,607877.8122,34.16387412,2934582.542
1-00446-7502,705-R1,1,2,66,1920,67764,1380000,20.36,6170000,91,119.1154232,1805940.399,26.65043974,8071737.538
1-00447-7501,777-R1,1,2,20,1900,11574,255000,22.03,1140000,98,128.2781481,333752.5411,28.8364041,1484691.286
1-00451-7502,1231-R1,1,1,35,1999,62556,1980000,31.7,9589999,153,200.2709862,2595702.043,41.49405401,12528151.81
1-00462-7501,901-R1,1,2,34,1991,36693,995000,27.1,4820000,131,171.473851,1301604.728,35.47283482,6291890.015
1-00463-7501,224-R1,1,1,36,1984,24528,885000,36.1,4449997,181,236.9218857,1159033.384,47.25348107,5811220.012
1-00464-7501,643-R1,1,1,14,1900,14650,420000,28.7,1768930,121,158.384244,550359.0688,37.56717193,2320329.175
1-00466-7501,1804-R1,1,2,28,2006,30662,1607770,52,8079999,264,345.5656233,2087038.346,68.06595611,10595733.14
1-00468-7501,203-R1,1,2,16,1900,21607,545000,25.2,2440000,113,147.9125585,712724.3859,32.9858095,3195946.652
1-00469-7501,390-R1,1,1,16,1920,12192,350000,28.7,1700003,139,181.9455365,458018.9602,37.56717193,2218279.981
1-00469-7502,493-R1,1,2,155,1964,113930,2875000,25.2,12800000,112,146.6035978,3758073.276,32.9858095,16702547.9
1-00521-7501,630-R1,2,1,18,1988,9514,320000,33.6,1550000,163,195.8739735,384141.7881,40.37647552,1863544.984
1-00522-7501,348-R1,2,1,11,1910,31039,745000,24,3329998,107,129.5089674,895175.3027,28.84033966,4019828.839
1-00525-7501,150-R1,2,2,190,1910,132000,2700000,20.45,12100000,92,111.3535047,3243817.203,24.57437275,14698662.62
1-00525-7502,212-R1,2,1,11,1910,6670,180000,27,872000,131,158.5577077,216410.6987,32.44538211,1057579.91
1-00525-7503,646-R1,2,2,54,1958,23688,595000,25.1,2660000,112,135.5607883,714481.9226,30.16218856,3211163.953
1-00525-7506,1685-R1,2,1,144,1910,85234,2500000,29.3,12099995,142,171.8717137,3001025.044,35.209248,14649313.65
1-00529-7502,494-R1,2,1,20,1904,24630,735000,29.8,3559995,145,175.5028062,882002.4775,35.81008841,4322634.117
1-00529-7504,631-R1,2,1,21,1900,41990,1130000,26.9,5470000,130,157.3473435,1357335.737,32.32521403,6607014.954
1-00530-7505,1721-R1,2,1,26,2006,85000,3449300,40.6,17300005,204,246.9142929,4147000.506,48.78824125,20987714.9
1-00531-7501,70-R1,2,1,56,1912,92500,2900000,31.4,14099999,152,183.9753555,3490281.939,37.73277772,17017720.38
1-00535-7501,295-R1,2,2,273,1908,290492,8700000,29.9,42200000,145,175.5028062,10437452.07,35.93025649,50982161.18
1-00540-7501,567-R1,2,2,18,1900,15744,460000,29.2,1966666,125,151.2955226,552442.4741,35.08907991,2381996.708
1-00542-7501,484-R1,2,2,24,1928,17842,465000,26.1,2250000,126,152.5058868,559594.1575,31.36386938,2721010.032
1-00542-7502,644-R1,2,2,40,1900,22777,630000,27.7,3050000,134,162.1888003,758167.9473,33.28655869,3694174.304
1-00544-7501,2004-R1,2,1,25,1920,88353,3400000,38.5,17099998,194,234.8106511,4087626.058,46.26471153,20746225.46
1-00544-7502,1496-R1,2,2,39,2004,116535,4700000,40.3,23600000,203,245.7039287,5643526.332,48.42773701,28633107.33
1-00545-7503,1341-R1,2,1,50,1930,96566,2610000,27,12600000,130,157.3473435,3133120.769,32.44538211,15194403.57
1-00548-7501,797-R1,2,2,390,1965,445151,14500000,32.6,70300000,158,191.2375406,17438699.04,39.1747947,85129582.44
1-00552-7501,349-R1,2,1,28,1986,43106,1150000,26.7,5570002,129,156.1369793,1383050.745,32.08487787,6730440.63
1-00552-7504,1660-R1,2,1,28,1966,32116,1100000,34.3,5529997,172,208.1826391,1323746.115,41.21765209,6685993.637
1-00556-7501,330-R1,2,1,11,1905,22501,565000,25.1,2530000,112,135.5607883,678679.4048,30.16218856,3050253.298
1-00557-7501,39-R1,2,2,65,1900,83089,2200000,26.5,10700000,129,156.1369793,2645931.125,31.8445417,12973265.47
1-00558-7501,210-R1,2,1,41,1985,56483,1525000,27,7390008,131,158.5577077,1832612.518,32.44538211,8955815.004
1-00558-7502,446-R1,2,1,70,1905,90082,2330000,25.9,11300003,125,151.2955226,2803670.119,31.12353321,13629003.27
1-00558-7503,684-R1,2,1,44,1988,57042,1600000,28,7750008,136,164.6095286,1919295.764,33.64706293,9389656.73
1-00559-7501,1742-R1,2,1,84,2006,100500,4306425,42.9,21700005,216,261.4386631,5180986.768,51.55210714,26274585.64
1-00560-7501,306-R1,2,2,145,1955,136098,3500000,25.7,17000000,125,151.2955226,4203141.352,30.88319705,20591018.03
1-00560-7502,304-R1,2,2,150,1959,160209,4450000,27.8,21600000,135,163.3991644,5352058.289,33.40672677,26178016.73
1-00560-7503,303-R1,2,2,213,1954,140370,3650000,26,17700000,126,152.5058868,4385678.35,31.24370129,21407251.33
1-00561-7501,787-R1,2,2,229,1955,209785,5500000,26.2,24888888,119,144.0333375,6604878.799,31.48403746,30216033.71
1-00563-7501,298-R1,2,1,44,1985,43542,1220000,28,5910002,136,164.6095286,1465060.414,33.64706293,7167428.094
1-00569-7501,154-R1,2,1,27,1907,66739,1490000,22.33,6659999,100,121.0364181,1790843.138,26.83353269,8077849.508
1-00569-7502,205-R1,2,1,12,1908,28097,730000,26,3266656,116,140.402245,877854.2751,31.24370129,3944881.878
1-00569-7503,248-R1,2,1,37,1910,52493,1415000,27,6860003,131,158.5577077,1703155.443,32.44538211,8323169.75
