MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00773-7501,1427-R1,200 WEST 24 STREET,0,1,20,2004,36967,1589581,43,7799997,211,40.7448118,-73.9954134
1-00716-7502,1566-R1,452 WEST 19 STREET,0,1,20,1920,22920,733440,32,3420001,149,40.744812,-73.9979469
1-00800-7501,970-R1,245 7 AVENUE,0,1,33,1911,75929,3400000,44.8,16699998,220,40.744829,-73.9973861
1-00746-7504,309-R1,305 WEST 22 STREET,0,1,26,1920,30908,1065000,34.5,4960002,160,40.7449994,-73.9981965
1-00717-7501,572-R1,445 WEST 19 STREET,0,1,71,1989,54355,2391620,44,11700012,215,40.745085,-73.9946995
1-00774-7501,1140-R1,252 7 AVENUE,0,1,351,1910,552679,21001802,38,97800013,177,40.7451708,-73.9989978
1-00746-7506,1441-R1,312 WEST 23 STREET,0,1,77,1948,36000,1275000,35.4,5939995,165,40.7453292,-73.999719
1-00746-7505,875-R1,322 WEST 23 STREET,0,1,11,1911,16083,690000,42.9,3389997,211,40.7454521,-73.9967881
1-00801-7502,1195-R1,150 WEST 26 STREET,0,1,25,1922,48276,1700000,35.2,7920003,164,40.745468,-73.9992
1-00690-7501,1924-R1,520 WEST 19 STREET,0,1,25,2007,67671,3200000,47.3,15700000,232,40.7455766,-73.9945099
1-00746-7502,124-R1,344 WEST 23 STREET,0,1,44,1985,53937,2100000,38.9,10300003,191,40.745789,-73.995066
1-00802-7501,848-R1,144 WEST 27 STREET,0,1,24,1911,70181,2700000,38.5,13300001,190,40.74596,-73.9942954
1-00720-7501,228-R1,420 WEST 23 STREET,0,1,39,1985,37431,1422378,38,6629998,177,40.7466646,-74.001273
1-00803-7501,766-R1,315 7 AVENUE,0,1,93,1926,94649,4060000,42.9,19900004,210,40.7469064,-73.995172
1-00720-7502,368-R1,468 WEST 23 STREET,0,1,11,1900,8408,336320,40,1650003,196,40.747396,-73.994468
1-00693-7501,1134-R1,532 WEST 22 STREET,0,1,12,1930,28207,1070000,37.9,4980001,177,40.7475391,-73.9945313
1-00694-7501,964-R1,525 WEST 22 STREET,0,1,30,1930,72274,2650000,36.7,12300000,170,40.7476159,-73.9957167
1-00722-7501,1819-R1,420 WEST 25 STREET,0,1,79,1912,97500,3802500,39,18700000,192,40.7481579,-74.0064005
1-00695-7504,1523-R1,231 10 AVENUE,0,1,22,2004,49658,2310000,46.5,11300001,228,40.7481997,-74.0064005
1-00695-7505,1752-R1,519 WEST 23 STREET,0,1,11,2005,24000,1060000,44.2,5200000,217,40.748251,-73.9925579
1-00723-7501,1499-R1,263 9 AVENUE,0,1,52,1914,96088,3747432,39,18400006,191,40.748406,-73.993698
1-00695-7503,1466-R1,555 WEST 23 STREET,0,1,336,2005,272102,12500000,45.9,61400017,226,40.748696,-73.999542
1-00696-7502,1982-R1,245 10 AVENUE,0,1,18,2007,49238,1765000,35.8,8219999,167,40.7488234,-74.005435
1-00751-7501,1328-R1,360 WEST 28 STREET,0,1,17,2002,15480,600000,38.8,2949998,191,40.7491948,-73.996126
1-00695-7506,2026-R1,200 11 AVENUE,0,1,16,2007,60964,900000,14.76,3040000,49.9,40.749334,-74.0050913
1-00792-7503,467-R1,130 WEST 17 STREET,0,2,14,1906,31650,880000,27.8,3650000,115,40.739761,-73.9955766
1-00792-7504,710-R1,101 7 AVENUE,0,2,155,1930,138320,4300000,31.1,20000000,145,40.7399844,-74.00551
1-00738-7501,615-R1,85 8 AVENUE,0,2,117,1973,110995,4046800,36.5,18900000,170,40.7402488,-73.994712
1-00769-7503,502-R1,160 7 AVENUE,0,2,197,1980,117094,3864102,33,18000000,154,40.7420828,-73.999387
1-00745-7503,1044-R1,225 8 AVENUE,0,2,70,1998,66668,2732000,41,13400000,201,40.744453,-73.9990404
1-00746-7503,206-R1,249 8 AVENUE,0,2,221,1931,151785,4650000,30.6,21700000,143,40.7450834,-74.004852
1-00745-7502,739-R1,360 WEST 22 STREET,0,2,218,1963,196721,5950000,30.2,27700000,141,40.7454597,-73.9952138
1-00721-7501,443-R1,465 WEST 23 STREET,0,2,713,1920,616965,23444670,38,109000000,177,40.7476868,-73.9992088
1-00277-7503,884-R1,95 MADISON STREET,CHINATOWN,R2-WALK-UP,20,1900,11358,230000,20.25,860000,76,40.7124857,-73.9994884
1-00277-7501,723-R1,60 HENRY STREET,CHINATOWN,R4-ELEVATOR,74,1989,47161,1603474,34,7470002,158,40.7128109,-74.0014921
1-00277-7502,856-R1,46 HENRY STREET,CHINATOWN,R4-ELEVATOR,32,1991,25805,819308,31.7,3819996,148,40.7129101,-73.9933819
1-00202-7501,222-R1,50 BAYARD STREET,CHINATOWN,R4-ELEVATOR,167,1985,163160,4731640,29,21999982,135,40.715319,-74.0070157
1-00171-7502,1074-R1,354 BROADWAY,CHINATOWN,R4-ELEVATOR,12,1900,41204,1359732,33,6329998,154,40.716988,-74.00029
1-00171-7501,32-R1,356 BROADWAY,CHINATOWN,R4-ELEVATOR,18,1915,20000,580000,29,2699997,135,40.717038,-73.9929823
