MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00029-7503,1541-R1,21 SOUTH WILLIAM STREET,FINANCIAL,R4-ELEVATOR,31,1900,20308,731088,36,3410002,168,40.7045125,-74.0107542
1-00029-7501,1002-R1,48 BEAVER STREET,FINANCIAL,R9-CONDOPS,40,1920,65396,2386954,36.5,11100000,170,40.7049647,-74.010733
1-00031-7501,1836-R1,75 WALL STREET,FINANCIAL,R4-ELEVATOR,347,1987,422833,13497000,31.9,62900004,149,40.7051789,-74.0080186
1-00028-7501,1590-R1,82 BEAVER STREET,FINANCIAL,R4-ELEVATOR,126,1987,96902,3876080,40,19000009,196,40.7052536,-74.0085742
1-00025-7501,1957-R1,15 WILLIAM STREET,FINANCIAL,R4-ELEVATOR,320,2005,477747,19109880,40,93799968,196,40.7053263,-74.0102724
1-00027-7502,1991-R1,20 EXCHANGE PLACE,FINANCIAL,R4-ELEVATOR,736,1929,346789,11097248,32,51700000,149,40.7054935,-74.0097259
1-00039-7501,122-R1,164 PEARL STREET,FINANCIAL,R4-ELEVATOR,121,1956,109468,4159784,38,19400003,177,40.7058765,-74.0074034
1-00072-7501,65-R1,170 JOHN STREET,FINANCIAL,R4-ELEVATOR,14,1982,24362,851000,34.9,3960000,163,40.7059326,-74.0042523
1-00027-7501,1424-R1,55 WALL STREET,FINANCIAL,R4-ELEVATOR,107,1836,159544,6222000,39,30500006,191,40.7060535,-74.0092784
1-00024-7501,1912-R1,40 BROAD STREET,FINANCIAL,R4-ELEVATOR,162,1982,231300,8442450,36.5,39300010,170,40.706084,-74.0117313
1-00015-7502,1557-R1,20 WEST STREET,FINANCIAL,R4-ELEVATOR,282,1930,249076,10212116,41,50100001,201,40.7061688,-74.015767
1-00026-7501,1480-R1,15 BROAD STREET,FINANCIAL,R4-ELEVATOR,382,1914,648926,25957040,40,126999973,196,40.7067029,-74.0109622
1-00041-7503,1186-R1,56 PINE STREET,FINANCIAL,R4-ELEVATOR,90,1893,73507,2646252,36,12300008,167,40.7067721,-74.0083809
1-00041-7501,1054-R1,50 PINE STREET,FINANCIAL,R4-ELEVATOR,20,1902,39607,1386245,35,6640000,168,40.7069298,-74.0086171
1-00044-7501,1853-R1,18 PINE STREET,FINANCIAL,R4-ELEVATOR,408,1928,548976,21959040,40,107999963,197,40.7078834,-74.0094552
1-00018-7501,1741-R1,13 RECTOR STREET,FINANCIAL,R4-ELEVATOR,452,1956,316810,12672400,40,62200021,196,40.7079667,-74.0137025
1-00076-7502,1935-R1,99 JOHN STREET,FINANCIAL,R4-ELEVATOR,441,2003,348157,14900000,42.8,73099958,210,40.7080596,-74.005955
1-00068-7502,1885-R1,90 WILLIAM STREET,FINANCIAL,R4-ELEVATOR,113,1967,112213,5400000,48.1,26499991,236,40.7081095,-74.0075488
1-00068-7501,1648-R1,80 JOHN STREET,FINANCIAL,R4-ELEVATOR,145,1927,186512,8100000,43.4,39800002,213,40.7082047,-74.0068653
1-00017-7502,1192-R1,33 RECTOR STREET,FINANCIAL,R4-ELEVATOR,13,1920,37236,1303000,35,6069999,163,40.7082859,-74.01494
1-00053-7501,1572-R1,120 GREENWICH STREET,FINANCIAL,R4-ELEVATOR,102,1903,71985,2627452,36.5,12200008,169,40.7090409,-74.0133167
1-00078-7507,1627-R1,111 WILLIAM STREET,FINANCIAL,R4-ELEVATOR,73,1909,89994,3500000,38.9,17199999,191,40.709064,-74.007332
1-00078-7508,1927-R1,45 JOHN STREET,FINANCIAL,R4-ELEVATOR,84,1908,75285,1685000,22.38,6979997,93,40.7093194,-74.0079162
1-00078-7505,1310-R1,39 JOHN STREET,FINANCIAL,R9-CONDOPS,14,1930,17122,670255,39.1,3290000,192,40.7094561,-74.0081333
1-00065-7501,21-R1,65 NASSAU STREET,FINANCIAL,R9-CONDOPS,29,1920,28550,800000,28,3310000,116,40.7094986,-74.0086743
1-00078-7506,1329-R1,102 FULTON STREET,FINANCIAL,R4-ELEVATOR,14,1910,22613,870000,38.5,4270000,189,40.7096575,-74.0069086
1-00079-7503,1551-R1,71 NASSAU STREET,FINANCIAL,R4-ELEVATOR,67,1906,66575,2500000,37.6,11600000,174,40.7096829,-74.0084065
1-00078-7503,1023-R1,80 NASSAU STREET,FINANCIAL,R9-CONDOPS,11,1900,31738,1150000,36.2,5360000,169,40.7098225,-74.0079309
1-00079-7502,1543-R1,130 FULTON STREET,FINANCIAL,R4-ELEVATOR,21,1900,66930,2510000,37.5,11699998,175,40.7103049,-74.0080866
1-00842-7501,690-R1,69 5 AVENUE,FLATIRON,R9-CONDOPS,153,1961,158565,5391210,34,25100000,158,40.736205,-73.993207
1-00843-7501,859-R1,73 5 AVENUE,FLATIRON,R9-CONDOPS,17,1907,46424,1624840,35,7570000,163,40.7367004,-73.9928107
1-00816-7501,678-R1,22 WEST 15 STREET,FLATIRON,R4-ELEVATOR,133,1989,136255,5450200,40,26800002,197,40.7370667,-73.9944661
1-00817-7501,359-R1,108 5 AVENUE,FLATIRON,R4-ELEVATOR,51,1986,64600,2584000,40,12700000,197,40.7372614,-73.9931285
1-00816-7503,1965-R1,50 WEST 15 STREET,FLATIRON,R4-ELEVATOR,47,2008,66363,2986335,45,14700000,222,40.7376452,-73.9954712
1-00846-7502,1911-R1,7 EAST 17 STREET,FLATIRON,R4-ELEVATOR,14,1903,36638,1465520,40,7189998,196,40.737895,-73.9912949
1-00848-7505,1864-R1,240 PARK AVENUE SOUTH,FLATIRON,R4-ELEVATOR,51,2007,84733,3812985,45,18699995,221,40.7380304,-73.9882869
1-00848-7503,1324-R1,42 EAST 20 STREET,FLATIRON,R4-ELEVATOR,22,1910,45692,2056140,45,10100000,221,40.7383813,-73.9884631
1-00819-7501,109-R1,12 WEST 18 STREET,FLATIRON,R4-ELEVATOR,15,1910,28804,1094552,38,5100009,177,40.7388719,-73.9929549
1-00849-7504,1493-R1,260 PARK AVENUE SOUTH,FLATIRON,R4-ELEVATOR,109,1913,191318,7078766,37,33000020,172,40.7389129,-73.98776
1-00849-7503,971-R1,40 EAST 21 STREET,FLATIRON,R9-CONDOPS,11,1906,21375,641250,30,3070000,144,40.739091,-73.988454
1-00819-7503,1693-R1,32 WEST 18 STREET,FLATIRON,R4-ELEVATOR,21,1908,69315,3119175,45,15299999,221,40.739112,-73.993817
1-00820-7501,632-R1,140 5 AVENUE,FLATIRON,R9-CONDOPS,21,1901,35253,1180975,33.5,5500000,156,40.739227,-73.992065
1-00819-7502,1330-R1,63 WEST 17 STREET,FLATIRON,R4-ELEVATOR,17,1961,38359,1726155,45,8470001,221,40.7393092,-73.994929
1-00850-7506,1381-R1,49 EAST 21 STREET,FLATIRON,R4-ELEVATOR,43,1913,60609,2727405,45,13399998,221,40.739332,-73.987599
1-00850-7503,459-R1,280 PARK AVENUE SOUTH,FLATIRON,R4-ELEVATOR,259,1986,282900,11881800,42,58299989,206,40.7394489,-73.9872059
1-00820-7504,1659-R1,16 WEST 19 STREET,FLATIRON,R4-ELEVATOR,57,1906,62219,2799855,45,13700003,220,40.7394618,-73.9925543
1-00849-7502,402-R1,7 EAST 20 STREET,FLATIRON,R4-ELEVATOR,15,1908,28000,840000,30,3910001,140,40.7395803,-73.9901811
1-00821-7505,1906-R1,27 WEST 19 STREET,FLATIRON,R4-ELEVATOR,13,2007,24091,1084095,45,5320004,221,40.7398258,-73.9928297
1-00849-7505,1612-R1,141 5 AVENUE,FLATIRON,R4-ELEVATOR,43,1900,78900,3392700,43,10413876,132,40.739927,-73.9903819
1-00851-7504,1850-R1,29 EAST 22 STREET,FLATIRON,R9-CONDOPS,20,1907,56554,2431822,43,11900000,210,40.740115,-73.9878589
1-00821-7504,1731-R1,32 WEST 20 STREET,FLATIRON,R9-CONDOPS,18,1912,37400,1421200,38,6620000,177,40.74027,-73.992963
1-00822-7504,1726-R1,15 WEST 20 STREET,FLATIRON,R4-ELEVATOR,17,1906,41659,1874655,45,9200000,221,40.7403108,-73.9921043
1-00822-7503,1226-R1,9 WEST 20 STREET,FLATIRON,R4-ELEVATOR,11,1910,28333,1133320,40,5560000,196,40.740335,-73.991743
1-00851-7501,77-R1,5 EAST 22 STREET,FLATIRON,R4-ELEVATOR,423,1985,380448,15978816,42,78400071,206,40.7407034,-73.9890331
1-00821-7503,1709-R1,650 6 AVENUE,FLATIRON,R4-ELEVATOR,67,1906,95000,4085000,43,20100007,212,40.7408788,-73.9942479
1-00823-7502,1094-R1,170 5 AVENUE,FLATIRON,R4-ELEVATOR,11,1904,28455,1138200,40,5589999,196,40.7409504,-73.9905488
1-00823-7503,1215-R1,31 WEST 21 STREET,FLATIRON,R4-ELEVATOR,11,1910,58439,2512877,43,12300001,210,40.7411152,-73.9921992
1-00855-7501,300-R1,43 EAST 25 STREET,FLATIRON,R4-ELEVATOR,119,1987,123200,5174400,42,25400002,206,40.742067,-73.986093
1-00856-7503,1870-R1,15 EAST 26 STREET,FLATIRON,R4-ELEVATOR,72,1912,180112,7744816,43,38000000,211,40.7433363,-73.9870495
1-00856-7502,1533-R1,225 5 AVENUE,FLATIRON,R4-ELEVATOR,190,1910,301945,13285580,44,65200001,216,40.7436314,-73.9876602
1-00857-7501,1636-R1,76 MADISON AVENUE,FLATIRON,R4-ELEVATOR,31,1911,61182,2753190,45,13499997,221,40.744042,-73.986201
1-00897-7501,1537-R1,203 EAST 16 STREET,GRAMERCY,R4-ELEVATOR,32,1915,51136,1840896,36,8570000,168,40.7346563,-73.9862971
1-00898-7501,437-R1,305 2 AVENUE,GRAMERCY,R4-ELEVATOR,127,1901,174042,5569344,32,25899999,149,40.7346978,-73.9834558
1-00898-7502,1676-R1,233 EAST 17 STREET,GRAMERCY,R4-ELEVATOR,13,1948,30116,1054060,35,4349999,144,40.7347687,-73.9843315
1-00870-7501,449-R1,10 UNION SQUARE EAST,GRAMERCY,R4-ELEVATOR,645,1987,575077,23003080,40,113000048,196,40.7347942,-73.9895321
1-00874-7501,775-R1,157 EAST 18 STREET,GRAMERCY,R9-CONDOPS,53,1955,40279,1288928,32,6000000,149,40.7360899,-73.9855513
1-00876-7502,609-R1,151 EAST 20 STREET,GRAMERCY,R4-ELEVATOR,23,1956,8053,297961,37,1389995,173,40.7372202,-73.9846191
1-00903-7502,148-R1,381 2 AVENUE,GRAMERCY,R9-CONDOPS,329,1931,321079,11237765,35,52300000,163,40.7374711,-73.981508
1-00903-7501,127-R1,205 EAST 22 STREET,GRAMERCY,R4-ELEVATOR,64,1920,81685,2450550,30,11399997,140,40.7380764,-73.9830654
1-00876-7501,286-R1,7 GRAMERCY PARK WEST,GRAMERCY,R4-ELEVATOR,24,1913,30260,1059100,35,4930002,163,40.7382936,-73.9865626
1-00879-7501,1445-R1,119 EAST 23 STREET,GRAMERCY,R4-ELEVATOR,95,2004,87310,3928950,45,19299995,221,40.7399789,-73.9852733
1-00880-7501,245-R1,117 EAST 24 STREET,GRAMERCY,R4-ELEVATOR,11,1920,36270,1088100,30,5070005,140,40.7406538,-73.9849078
1-00881-7501,704-R1,61 LEXINGTON AVENUE,GRAMERCY,R9-CONDOPS,40,1930,22300,669000,30,3120000,140,40.7408627,-73.9835112
1-00908-7501,503-R1,200 EAST 28 STREET,GRAMERCY,R4-ELEVATOR,43,1965,29535,886050,30,4130004,140,40.7416526,-73.9805281
1-00572-7502,1256-R1,30 WEST 9 STREET,2,0,18,1900,14398,446338,31,2079997,144,40.7334169,-74.011393
1-00571-7505,1694-R1,8 UNION SQUARE SOUTH,2,1,20,2006,36330,1743840,48,8560001,236,40.7017611,-73.993771
1-00521-7501,630-R1,306 MOTT STREET,2,1,18,1988,9514,330611,34.7,1540000,162,40.725001,-73.9949937
1-00522-7501,348-R1,54 BLEECKER STREET,2,1,11,1910,31039,807014,26,3340000,108,40.7257305,-73.9930244
1-00530-7505,1721-R1,40 BOND STREET,2,1,26,2006,85000,3570000,42,17499997,206,40.7263229,-73.99451
1-00529-7502,494-R1,7 BOND STREET,2,1,20,1904,24630,735000,29.8,3420002,139,40.7267031,-73.9946294
1-00529-7504,631-R1,1 BOND STREET,2,1,21,1900,41990,1165222,27.7,4829999,115,40.7267315,-73.9997141
1-00525-7502,212-R1,496 LA GUARDIA PLACE,2,1,11,1910,6670,179423,26.9,742998,111,40.7274609,-74.0002529
1-00525-7506,1685-R1,184 THOMPSON STREET,2,1,144,1910,85234,2642254,31,12300000,144,40.7281228,-73.999709
1-00531-7501,70-R1,692 BROADWAY,2,1,56,1912,92500,3237500,35,15099995,163,40.7283095,-73.9996575
1-00544-7501,2004-R1,56 COOPER SQUARE,2,1,25,1920,88353,3401591,38.5,16700000,189,40.7290226,-73.9943131
1-00545-7503,1341-R1,21 ASTOR PLACE,2,1,50,1930,96566,2703848,28,11199999,116,40.7301016,-73.9949878
1-00556-7501,330-R1,10430 EAST 12 STREET,2,1,11,1905,28385,801876,28.2,3320001,117,40.7303971,-73.9912439
1-00552-7504,1660-R1,88 WEST WASHINGTON PLACE,2,1,28,1966,32116,1082819,33.7,5040003,157,40.732008,-74.000496
1-00552-7501,349-R1,360 6 AVENUE,2,1,28,1986,43106,1153085,26.7,4780002,111,40.7321706,-74.001206
1-00558-7503,684-R1,125 EAST 12 STREET,2,1,44,1988,57042,1645662,28.9,6820002,120,40.73264,-73.99129
1-00558-7501,210-R1,114 EAST 13 STREET,2,1,41,1985,56483,1666248,29.5,7760002,137,40.732823,-74.0017696
1-00567-7501,1177-R1,23 5 AVENUE,2,1,89,1921,81875,3070312,37.5,14300004,175,40.732843,-73.9917072
1-00558-7502,446-R1,115 4 AVENUE,2,1,70,1905,90082,2605171,28.9,12099998,134,40.7328931,-73.9844695
1-00559-7501,1742-R1,108 3 AVENUE,2,1,84,2006,100500,4422000,44,21700001,216,40.732897,-73.9930526
1-00563-7501,298-R1,44 EAST 12 STREET,2,1,44,1985,43542,1306260,30,6079998,140,40.733328,-73.9927271
1-00569-7504,1028-R1,13 EAST 11 STREET,2,1,115,1903,60860,1764940,29,8220008,135,40.733822,-73.9934503
1-00569-7503,248-R1,16 EAST 12 STREET,2,1,37,1910,52493,1496050,28.5,6200001,118,40.7340408,-73.9921589
1-00569-7502,205-R1,8 EAST 12 STREET,2,1,12,1908,28097,737546,26.2,3050000,109,40.734136,-73.9947807
1-00569-7501,154-R1,10 EAST 12 STREET,2,1,27,1907,66739,1751898,26.2,7260002,109,40.7342879,-74.000497
1-00575-7502,1895-R1,31 WEST 11 STREET,2,1,17,1912,34118,852950,25,3529998,103,40.734768,-74.0006096
1-00576-7502,421-R1,59 WEST 12 STREET,2,1,105,1931,112050,3271860,29.2,15200001,136,40.7357559,-73.9911176
1-00576-7501,3-R1,60 WEST 13 STREET,2,1,70,1966,82017,2337484,28.5,9680011,118,40.7362922,-73.988503
1-00577-7502,1180-R1,65 WEST 13 STREET,2,1,77,1906,201330,7197547,35.7,33500005,166,40.7366126,-73.989147
1-00525-7503,646-R1,177 THOMPSON STREET,2,2,54,1958,23688,615888,26,2550000,108,40.7279221,-73.9959232
1-00525-7501,150-R1,156 BLEECKER STREET,2,2,190,1910,132000,3346200,25.4,13900000,105,40.7282848,-73.9897661
1-00535-7501,295-R1,14 WEST 4 STREET,2,2,273,1908,290492,9586236,33,44700000,154,40.7286379,-73.987867
1-00540-7501,567-R1,173 BLEECKER STREET,2,2,18,1900,15744,421152,26.8,1740000,111,40.729127,-73.9968863
1-00542-7502,644-R1,189 BLEECKER STREET,2,2,40,1900,22777,630000,27.7,2610000,115,40.7293393,-73.9917752
1-00544-7502,1496-R1,443 LAFAYETTE STREET,2,2,39,2004,116535,4894470,42,24000000,206,40.729484,-73.9975409
1-00542-7501,484-R1,205 BLEECKER STREET,2,2,24,1928,17842,477273,26.7,1980000,111,40.7296117,-73.994036
1-00548-7501,797-R1,60 EAST 8 STREET,2,2,390,1965,445151,15580285,35,72600000,163,40.7305539,-73.9937268
1-00560-7503,303-R1,60 EAST 9 STREET,2,2,213,1954,140370,3775953,26.9,15600000,111,40.7312439,-73.993889
1-00560-7502,304-R1,40 EAST 9 STREET,2,2,150,1959,160209,4606009,28.8,19100000,119,40.7314301,-73.9987369
1-00561-7501,787-R1,63 EAST 9 STREET,2,2,229,1955,209785,5873980,28,24300000,116,40.7315065,-73.993725
1-00560-7501,306-R1,21 UNIVERSITY PLACE,2,2,145,1955,136098,3661036,26.9,15200000,112,40.7315805,-73.996187
1-00557-7501,39-R1,806 BROADWAY,2,2,65,1900,83089,2222630,26.7,9210000,111,40.7324291,-73.9935538
1-00572-7501,747-R1,12 WEST 9 STREET,2,2,23,1952,13256,367854,27.8,1520000,115,40.7330492,-73.9970382
1-00573-7502,89-R1,69 WEST 9 STREET,2,2,119,1959,94250,2521187,26.7,10400000,110,40.7341514,-73.9949667
1-00571-7501,27-R1,7 EAST 13 STREET,2,2,39,1928,42384,1140130,26.9,4720000,111,40.7350686,-73.9967453
1-00575-7501,515-R1,53 WEST 11 STREET,2,2,15,1900,9380,253260,27,1050000,112,40.7351433,-73.9968412
1-00576-7503,886-R1,8 WEST 13 STREET,2,2,30,1910,34168,854200,25,3540000,104,40.7354386,-73.9968933
1-00587-7501,293-R1,76 BEDFORD STREET,2,0,30,1929,19320,487830,25.3,2020003,105,40.7317195,-74.0035509
1-00620-7502,1459-R1,223 WEST 10 STREET,2,0,40,1893,22157,745000,33.6,3470003,157,40.7340288,-74.0046206
1-00621-7503,1688-R1,382 BLEECKER STREET,2,0,21,1914,13648,525000,38.5,2580000,189,40.735144,-74.0071844
1-00643-7501,314-R1,77 HORATIO STREET,2,0,12,1910,11270,400000,35.5,1860003,165,40.7389303,-74.0101084
1-00528-7502,495-R1,3 BEDFORD STREET,2,1,12,1986,15990,479700,30,2230001,139,40.7288293,-74.0067368
1-00528-7501,426-R1,63 DOWNING STREET,2,1,32,1986,35225,1091975,31,5090005,144,40.7292175,-74.0048544
1-00601-7501,542-R1,421 HUDSON STREET,2,1,184,1920,212232,7056714,33.3,32599994,154,40.7299052,-74.00111
1-00602-7501,1368-R1,1 MORTON SQUARE,2,1,142,2002,310000,14027500,45.3,68899996,222,40.7309933,-74.0092915
1-00589-7501,48-R1,2 CORNELIA STREET,2,1,43,1929,66282,1932120,29.1,8999997,136,40.731722,-74.0022409
1-00604-7501,79-R1,162 CHRISTOPHER STREET,2,1,83,1920,88227,2712980,30.7,12600000,143,40.7324116,-74.0018355
1-00592-7501,562-R1,1 SHERIDAN SQUARE,2,1,45,1900,21494,585711,27.2,2429998,113,40.732742,-74.0095901
1-00636-7502,1542-R1,3 WEEHAWKEN STREET,2,1,20,1900,11852,450000,38,2100005,177,40.7330902,-74.0094339
1-00636-7501,1011-R1,296 WEST 10 STREET,2,1,24,1997,38871,1850000,47.6,9079998,234,40.7331855,-74.000787
1-00593-7502,1678-R1,147 WAVERLY PLACE,2,1,18,1915,44820,1434240,32,6680000,149,40.733519,-74.000202
1-00610-7501,366-R1,45 CHRISTOPHER STREET,2,1,113,1931,120723,3710000,30.7,17299999,143,40.733877,-74.007599
1-00631-7502,376-R1,677 WASHINGTON STREET,2,1,77,1987,73176,2700000,36.9,12600001,172,40.733903,-74.001795
1-00637-7505,1453-R1,165 CHARLES STREET,2,1,29,2004,72225,3300000,45.7,16199997,224,40.7341117,-74.008148
1-00620-7501,1087-R1,534 HUDSON STREET,2,1,22,1998,41506,2000000,48.2,9819999,237,40.7342412,-74.0040061
1-00637-7504,1229-R1,176 PERRY STREET,2,1,23,2001,88141,4250000,48.2,20900006,237,40.734459,-74.0051757
1-00637-7501,301-R1,155 PERRY STREET,2,1,32,1913,48708,1820000,37.4,8479995,174,40.734966,-74.0096584
1-00637-7502,473-R1,366 WEST 11 STREET,2,1,81,1987,60200,2470000,41,12100003,201,40.7351764,-74.0059295
1-00612-7504,850-R1,15 CHARLES STREET,2,1,122,1964,92616,2800000,30.2,12999998,140,40.7352797,-74.009796
1-00638-7502,1211-R1,359 WEST 11 STREET,2,1,18,1999,39213,1600000,40.8,7850005,200,40.735597,-74.008964
1-00612-7501,530-R1,22 PERRY STREET,2,1,21,1987,18780,730000,38.9,3580001,191,40.7356987,-74.002216
1-00638-7501,576-R1,164 BANK STREET,2,1,24,1988,21991,830000,37.7,3870002,176,40.7359035,-74.005109
1-00624-7502,106-R1,69 BANK STREET,2,1,15,1983,27448,930000,33.9,4330001,158,40.7368677,-74.0093342
1-00635-7501,158-R1,33 BETHUNE STREET,2,1,24,1930,42407,1600000,37.7,7449999,176,40.736938,-74.0012674
1-00608-7501,487-R1,175 WEST 12 STREET,2,1,214,1961,165160,5950000,36,27700005,168,40.7373009,-74.0031463
1-00624-7503,439-R1,302 WEST 12 STREET,2,1,128,1910,138934,4150000,29.9,19300003,139,40.7373694,-74.00909
1-00625-7501,363-R1,299 WEST 12 STREET,2,1,181,1930,159268,4250000,26.7,17600004,111,40.7376678,-74.0020278
1-00609-7502,965-R1,116 WEST 14 STREET,2,1,19,1912,58507,1640000,28,6789999,116,40.7377602,-74.0093884
1-00641-7501,329-R1,88 JANE STREET,2,1,27,1910,20546,750000,36.5,3490002,170,40.737944,-74.0056102
1-00642-7502,1066-R1,99 JANE STREET,2,1,84,1997,147335,6050000,41.1,29699997,202,40.73833,-74.0053044
1-00618-7501,447-R1,222 WEST 14 STREET,2,1,132,1987,101634,4100000,40.3,20100001,198,40.7389096,-74.0046697
1-00618-7504,2051-R1,122 GREENWICH AVENUE,2,1,30,2008,62138,2270000,36.5,10599931,171,40.7393217,-74.0075848
1-00629-7504,1120-R1,77 8 AVENUE,2,1,11,1920,23425,1030000,44,5059997,216,40.7397002,-74.0002987
1-00629-7501,469-R1,321 WEST 13 STREET,2,1,21,1907,30312,1150000,37.9,5360000,177,40.739713,-74.0047368
1-00629-7503,1057-R1,345 WEST 13 STREET,2,1,47,1920,123881,5200000,42,25499994,206,40.740026,-74.0052761
1-00629-7502,544-R1,350 WEST 14 STREET,2,1,49,1962,32863,1030000,31.3,4800002,146,40.7404501,-73.9978684
1-00584-7501,743-R1,442 HUDSON STREET,2,2,169,1925,100633,2515825,25,10400000,103,40.7310364,-74.007602
1-00590-7502,608-R1,9 BARROW STREET,2,2,86,1930,89510,2349637,26.2,9730000,109,40.7325499,-74.0086063
1-00593-7501,663-R1,10 CHRISTOPHER STREET,2,2,30,1910,21738,586926,27,2430000,112,40.733777,-74.0028459
1-00631-7501,18-R1,712 GREENWICH STREET,2,2,20,1910,53943,1550000,28.7,6420000,119,40.733866,-74.001233
1-00619-7502,746-R1,204 WEST 10 STREET,2,2,29,1910,13177,450000,34.2,2100000,159,40.7339612,-74.0073167
1-00612-7502,626-R1,25 CHARLES STREET,2,2,30,1910,19715,635000,32.2,2960000,150,40.735043,-74.0025233
1-00612-7503,698-R1,259 WEST 4 STREET,2,2,25,1905,13997,450000,32.1,2100000,150,40.73542,-74.0029843
1-00623-7501,776-R1,295 WEST 11 STREET,2,2,60,1920,32638,1140000,34.9,5310000,163,40.7360727,-74.003947
1-00624-7504,640-R1,419 BLEECKER STREET,2,2,87,1939,75154,2700000,35.9,12600000,168,40.7366085,-74.004847
1-00616-7501,445-R1,2 HORATIO STREET,2,2,241,1931,209011,6000000,28.7,24900000,119,40.7385959,-74.0048725
1-01826-7502,1662-R1,220 WEST 111 STREET,3,0,24,1900,18540,407880,22,1636235,88,40.800546,-73.9533089
1-01828-7503,1540-R1,2072 FRED DOUGLASS BOULEV,3,0,13,1900,6866,206000,30,852999,124,40.8019065,-73.9536458
1-01828-7505,1684-R1,2082 FRED DOUGLASS BOULEV,3,0,14,1900,6846,191688,28,794003,116,40.8022119,-73.952614
1-01831-7501,1657-R1,245 WEST 115 STREET,3,0,20,1900,7852,219856,28,911000,116,40.803651,-73.9554781
1-01944-7502,1190-R1,370 WEST 118 STREET,3,0,49,1931,63586,1208134,19,4520001,71,40.8068973,-73.9511503
1-01755-7501,1470-R1,69 EAST 130 STREET,3,0,25,2004,40418,1100000,27.2,4559999,113,40.808796,-73.9470053
1-01729-7503,1530-R1,7 WEST 131 STREET,3,0,12,2004,15230,410000,26.9,1700001,112,40.810792,-73.9563655
1-01955-7501,1340-R1,368 ST NICHOLAS AVENUE,3,0,15,1910,23765,475300,20,1779998,75,40.8127179,-73.954498
1-01917-7501,1926-R1,2257 ADAM C POWELL BOULEV,3,0,11,0,8195,204875,25,849001,104,40.8137158,-73.9549965
1-01942-7501,887-R1,273 WEST 136 STREET,3,0,32,1994,35082,806886,23,3339993,95,40.817426,-73.9480097
1-01960-7502,899-R1,300 WEST 137 STREET,3,0,28,1994,41964,1426776,34,6649996,158,40.817755,-73.9435056
1-02023-7503,874-R1,297 WEST 137 STREET,3,0,28,1993,30976,1053184,34,4909998,159,40.817956,-73.9568337
1-02041-7502,900-R1,300 WEST 138 STREET,3,0,28,1994,36188,1230392,34,5729997,158,40.8183239,-73.950494
1-02025-7501,1737-R1,202 WEST 140 STREET,3,0,29,1926,30584,703432,23,2910001,95,40.818541,-73.9566231
1-02042-7502,974-R1,2611 FRED DOUGLASS BOULEV,3,0,47,1896,76584,1761432,23,7299998,95,40.8195895,-73.9493797
1-01820-7502,1520-R1,125 CENTRAL PARK NORTH,3,1,17,1900,22039,661000,30,3079999,140,40.7986251,-73.94974
1-01820-7501,592-R1,137 CENTRAL PARK NORTH,3,1,35,1910,36637,769000,20.99,3190000,87,40.7987673,-73.956303
1-01820-7503,1768-R1,111 CENTRAL PARK NORTH,3,1,85,2006,94012,6262000,67,29200014,311,40.7988339,-73.949476
1-01826-7501,591-R1,1800 ADAM C POWELL BOULEV,3,1,35,1911,48636,973000,20.01,3640001,75,40.799853,-73.955016
1-01823-7502,1545-R1,61 LENOX AVENUE,3,1,15,1900,18567,464000,24.99,1920002,103,40.8001702,-73.95505
1-01599-7501,1359-R1,1400 5 AVENUE,3,1,129,2003,163480,5068000,31,23599994,144,40.8003881,-73.955127
1-01828-7501,749-R1,1852 ADAM C POWELL BOULEV,3,1,14,1900,18448,314000,17.02,1170000,63,40.8006876,-73.9460575
1-01828-7502,1332-R1,203 WEST 112 STREET,3,1,13,1920,23700,427000,18.02,1599997,68,40.8010095,-73.9487622
1-01599-7502,1735-R1,40 WEST 116 STREET,3,1,248,2006,395140,12249000,31,57099998,145,40.8010649,-73.9538369
1-01825-7501,1996-R1,106 WEST 116 STREET,3,1,32,2006,57450,1206450,21,4999999,87,40.802046,-73.95371
1-01829-7501,1440-R1,2098 FRED DOUGLASS BOULEV,3,1,33,1900,28560,514080,18,1919991,67,40.8027716,-73.9454647
1-01830-7501,1799-R1,266 WEST 115 STREET,3,1,15,2005,20184,807000,40,3960000,196,40.803129,-73.9530918
1-01831-7502,1913-R1,247 WEST 115 STREET,3,1,36,2007,49200,1082400,22,4479997,91,40.803685,-73.9567255
1-01720-7501,1323-R1,1 MT MORRIS PARK WEST,3,1,36,1909,40987,780000,19.03,2919996,71,40.8038766,-73.9574227
1-01903-7501,1495-R1,100 WEST 119 STREET,3,1,25,1910,44329,1108000,24.99,4589997,104,40.8040587,-73.95353
