 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value,,,,,
1-01143-7503,523-R1,9,2,35,1900,36236,1087080,30,5060000,140,,,,,,,,,
1-01143-7504,579-R1,9,1,66,1905,46142,1384260,30,6450003,140,,,,,,,,,
1-01143-7505,1827-R1,9,1,17,2007,45900,2157300,47,10599999,231,,,,,,,,,
1-01144-7501,327-R1,9,1,34,1913,50284,1508520,30,7030001,140,,,,,,,,,
1-01146-7501,270-R1,9,2,62,1952,70100,2103000,30,9800000,140,,,,,,,,,
1-01147-7501,823-R1,9,2,132,1925,181976,5459280,30,25400000,140,,,,,,,,,
1-01149-7501,589-R1,9,0,28,1900,14940,493020,33,2299994,154,,,,,,,,,
1-01150-7502,159-R1,9,1,23,1988,47376,1800288,38,8390000,177,,,,,,,,,
1-01150-7503,405-R1,9,1,93,1987,68225,2592550,38,12100007,177,,,,,,,,,
1-01150-7504,1415-R1,9,1,98,1930,135531,4472523,33,20799996,153,,,,,,,,,
1-01151-7501,759-R2,9,2,132,1991,92422,3881724,42,19100000,207,,,,,,,,,
1-01151-7502,1719-R1,9,1,172,2005,213067,8948814,42,43900021,206,,,,,,,,,
1-01151-7503,1835-R1,9,1,186,2007,259288,10890096,42,53500014,206,,,,,,,,,
1-01152-7501,1544-R1,9,1,80,2004,86299,3624558,42,17800015,206,,,,,,,,,
1-01152-7502,1950-R1,9,1,40,2007,61344,2061000,33.6,9600000,156,,,,,,,,,
1-01158-7501,408-R1,9,2,508,1963,471630,13205640,28,54700000,116,,,,,,,,,
1-01158-7502,410-R1,9,2,452,1965,493268,13811504,28,57200000,116,,,,,,,,,
1-01158-7503,414-R1,9,2,454,1963,452258,12663224,28,52500000,116,,,,,,,,,
1-01158-7504,407-R1,9,2,561,1964,640079,17922212,28,74200000,116,,,,,,,,,
1-01158-7505,409-R1,9,2,484,1965,474360,13282080,28,55000000,116,,,,,,,,,
1-01158-7506,1803-R1,9,1,170,2006,223560,8405856,37.6,39200002,175,,,,,,,,,
1-01163-7501,231-R1,9,1,58,1986,58000,2320000,40,11399997,197,,,,,,,,,
1-01163-7502,1989-R1,9,1,20,1912,47000,1200000,25.5,4969998,106,,,,,,,,,
1-01164-7501,731-R1,9,1,202,1991,265469,10618760,40,52100011,196,,,,,,,,,
1-01165-7501,189-R1,9,1,159,1926,186929,5981728,32,27900027,149,,,,,,,,,
1-01165-7503,799-R1,9,1,465,1902,446600,12504800,28,51800007,116,,,,,,,,,
1-01165-7505,1674-R1,9,1,29,1928,132048,5149872,39,25300000,192,,,,,,,,,
1-01166-7501,344-R1,9,1,92,1922,54975,1759200,32,8190004,149,,,,,,,,,
1-01167-7501,650-R1,9,2,110,1924,107050,3318550,31,15500000,145,,,,,,,,,
1-01168-7501,2048-R1,9,1,127,2007,219320,10966000,50,53799873,245,,,,,,,,,
1-01169-7501,876-R1,9,0,16,1920,9957,418194,42,2049998,206,,,,,,,,,
1-01169-7502,2023-R1,9,1,34,2008,91271,3103214,34,14500000,159,,,,,,,,,
1-01170-7501,627-R1,9,2,272,1975,226556,7929460,35,36900000,163,,,,,,,,,
1-01171-7501,1058-R1,9,1,372,1997,512280,23052600,45,113000001,221,,,,,,,,,
1-01171-7502,1262-R1,9,1,422,2000,602694,27121230,45,132999960,221,,,,,,,,,
1-01171-7503,1401-R1,9,1,167,2004,322204,14499180,45,71199970,221,,,,,,,,,
1-01171-7504,1463-R1,9,1,277,2004,263003,11835135,45,58100023,221,,,,,,,,,
1-01171-7505,1807-R1,9,1,266,2006,388033,17461485,45,85699979,221,,,,,,,,,
1-01171-7507,1992-R1,9,1,271,2006,572768,29783936,52,145999994,255,,,,,,,,,
1-01179-7501,411-R1,9,2,403,1962,421100,11790800,28,48800000,116,,,,,,,,,
1-01179-7502,412-R1,9,2,432,1962,383760,10745280,28,44500000,116,,,,,,,,,
1-01179-7503,413-R1,9,2,543,1962,533710,14943880,28,61900000,116,,,,,,,,,
1-01182-7501,547-R1,9,1,148,1930,152076,4714356,31,21999988,145,,,,,,,,,
1-01184-7501,1631-R1,9,1,25,1931,45968,1287104,28,5330003,116,,,,,,,,,
1-01197-7501,334-R1,9,1,37,1924,55226,1546328,28,6400001,116,,,,,,,,,
1-01198-7502,909-R1,9,1,52,1900,39438,1340892,34,6250002,158,,,,,,,,,
1-01199-7502,481-R1,9,1,20,1910,28600,858000,30,4000000,140,,,,,,,,,
1-01202-7501,692-R1,9,1,36,1988,115502,4851084,42,23799995,206,,,,,,,,,
1-01203-7501,1000-R1,9,1,47,1927,39942,1118376,28,4629993,116,,,,,,,,,
1-01203-7502,1008-R1,9,1,11,1960,19902,616962,31,2870000,144,,,,,,,,,
1-01206-7501,1257-R1,9,1,85,1929,130259,3777511,29,17599993,135,,,,,,,,,
1-01209-7501,839-R1,9,1,18,1991,53656,2038928,38,9500002,177,,,,,,,,,
1-01210-7501,204-R1,9,1,147,1986,215942,9717390,45,47700009,221,,,,,,,,,
1-01210-7502,669-R1,9,1,91,1920,60653,2244161,37,10500001,173,,,,,,,,,
1-01212-7501,36-R1,9,2,134,1900,148751,4611281,31,21500000,145,,,,,,,,,
1-01213-7503,512-R1,9,1,36,1912,35516,958932,27,3970002,112,,,,,,,,,
1-01213-7504,722-R1,9,2,59,1900,48846,1660764,34,7740000,158,,,,,,,,,
1-01216-7501,391-R1,9,1,47,1986,27600,1021200,37,4759997,172,,,,,,,,,
1-01216-7502,757-R1,9,1,79,1929,88916,2311816,26,9580005,108,,,,,,,,,
1-01216-7503,1031-R1,9,1,38,1998,70430,2605910,37,12100001,172,,,,,,,,,
1-01219-7501,242-R1,9,1,108,1985,145070,6092940,42,29900000,206,,,,,,,,,
1-01220-7501,252-R1,9,1,47,1900,33570,1007100,30,4689990,140,,,,,,,,,
1-01220-7502,521-R1,9,1,13,1989,27389,1040782,38,4850002,177,,,,,,,,,
1-01220-7503,618-R1,9,1,26,1989,54778,2081564,38,9699999,177,,,,,,,,,
1-01220-7504,774-R1,9,1,59,1990,60767,2309146,38,10800007,178,,,,,,,,,
1-01223-7501,357-R1,9,2,93,1930,100964,2826992,28,11700000,116,,,,,,,,,
1-01223-7502,550-R1,9,1,53,1925,62389,1746892,28,7240000,116,,,,,,,,,
1-01223-7503,1645-R1,9,1,279,1973,246842,7405260,30,34499995,140,,,,,,,,,
1-01223-7504,1984-R1,9,1,53,1925,55008,1485216,27,6150000,112,,,,,,,,,
1-01228-7501,508-R1,9,1,123,1987,132774,5576508,42,27399989,206,,,,,,,,,
1-01228-7502,490-R1,9,1,28,1910,27772,833160,30,3880001,140,,,,,,,,,
1-01228-7503,1487-R1,9,1,12,2004,21807,872280,40,4279997,196,,,,,,,,,
1-01229-7501,261-R1,9,1,55,1920,80629,2096354,26,8679992,108,,,,,,,,,
1-01229-7502,1872-R1,9,1,117,1912,176424,5469144,31,25499999,145,,,,,,,,,
1-01229-7503,2016-R1,9,2,12,1920,8594,283602,33,1320000,154,,,,,,,,,
1-01230-7501,590-R1,9,2,97,1923,155319,4348932,28,18000000,116,,,,,,,,,
1-01231-7501,386-R1,9,1,306,1985,369189,14767560,40,72500009,196,,,,,,,,,
1-01232-7501,616-R1,9,2,76,1915,147022,4116616,28,17100000,116,,,,,,,,,
1-01232-7502,1230-R1,9,1,89,1915,141562,4388422,31,20399994,144,,,,,,,,,
1-01233-7501,296-R1,9,1,45,1912,79554,2068404,26,8570001,108,,,,,,,,,
1-01233-7502,892-R1,9,1,57,1986,60115,2404600,40,11800006,196,,,,,,,,,
1-01234-7501,600-R1,9,2,354,1987,412000,16480000,40,80900000,196,,,,,,,,,
1-01235-7501,74-R1,9,1,60,1920,56306,1520262,27,6299998,112,,,,,,,,,
1-01236-7501,428-R1,9,2,142,1986,134054,5630268,42,27600000,206,,,,,,,,,
1-01236-7502,1814-R1,9,1,94,1915,171946,4814488,28,19900007,116,,,,,,,,,
1-01236-7503,2075-R1,9,0,15,1910,10789,323670,30,1549993,144,,,,,,,,,
1-01237-7501,285-R1,9,1,72,1920,147994,4143832,28,17200013,116,,,,,,,,,
1-01237-7502,384-R1,9,1,157,1985,170760,7171920,42,35199993,206,,,,,,,,,
1-01238-7501,1117-R1,9,1,93,1922,166559,5163329,31,24100009,145,,,,,,,,,
1-01238-7503,1265-R1,9,1,84,1920,118026,3304728,28,13700000,116,,,,,,,,,
1-01239-7501,732-R1,9,1,37,1913,59951,1678628,28,6950002,116,,,,,,,,,
1-01239-7502,1089-R1,9,1,47,1916,92402,2587256,28,10700005,116,,,,,,,,,
1-01240-7501,387-R1,9,1,15,1900,15815,506080,32,2360001,149,,,,,,,,,
1-01240-7502,1727-R1,9,1,58,1926,116997,3275916,28,13600004,116,,,,,,,,,
1-01241-7501,200-R1,9,1,15,1930,16506,528192,32,2459998,149,,,,,,,,,
1-01243-7501,415-R1,9,1,212,1986,145085,6093570,42,29900007,206,,,,,,,,,
1-01244-7501,221-R1,9,1,24,1920,20118,663894,33,3089996,154,,,,,,,,,
1-01245-7501,29-R1,9,2,17,1920,25216,832128,33,3880000,154,,,,,,,,,
1-01246-7501,78-R1,9,1,22,1910,28436,853080,30,3970004,140,,,,,,,,,
1-01247-7501,740-R1,9,1,70,1950,90566,2445282,27,10099998,112,,,,,,,,,
1-01250-7503,1692-R1,9,1,24,1920,60480,1693440,28,7009993,116,,,,,,,,,
1-01250-7504,1747-R1,9,1,54,1923,55190,1490130,27,6170001,112,,,,,,,,,
1-01251-7501,1129-R1,9,1,51,1911,78380,2508160,32,11700002,149,,,,,,,,,
1-01252-7501,149-R1,9,1,32,1920,32750,917000,28,3800000,116,,,,,,,,,
1-01253-7501,533-R1,9,1,30,1902,32905,921340,28,3820004,116,,,,,,,,,
1-01253-7502,647-R1,9,1,104,1989,167752,7045584,42,34600000,206,,,,,,,,,
1-01253-7503,1608-R1,9,1,261,1931,208241,5414266,26,22399940,108,,,,,,,,,
1-01868-7501,93-R1,9,1,302,1983,358000,10200000,28.5,42199971,118,,,,,,,,,
1-01869-7501,516-R1,9,1,56,1901,80242,2300000,28.7,9530000,119,,,,,,,,,
1-01869-7502,708-R1,9,1,61,1914,97950,2375000,24.25,9840000,100,,,,,,,,,
1-01869-7503,1855-R1,9,1,166,1923,267321,5600000,20.95,23199997,87,,,,,,,,,
1-01870-7501,353-R1,9,1,31,1920,49780,1400000,28.1,5800001,117,,,,,,,,,
1-01870-7502,438-R1,9,2,79,1911,163616,3300000,20.17,12300000,75,,,,,,,,,
1-01870-7503,1161-R1,9,1,32,1912,32752,950000,29,4430001,135,,,,,,,,,
1-01871-7501,1753-R1,9,1,68,2006,152422,4415000,29,43700003,287,,,,,,,,,
1-01871-7502,1786-R1,9,1,64,2005,132905,5200000,39.1,24200006,182,,,,,,,,,
1-01874-7501,362-R1,9,2,345,1927,221974,5670000,25.5,23500000,106,,,,,,,,,
1-01876-7501,464-R1,9,1,46,1930,33324,935000,28.1,3869994,116,,,,,,,,,
1-01878-7501,1406-R1,9,1,64,2004,133872,4400000,32.9,20500003,153,,,,,,,,,
1-01880-7501,519-R1,9,1,44,1925,42503,900000,21.17,3729992,88,,,,,,,,,
1-01881-7501,188-R1,9,1,148,1920,107102,3000000,28,14000037,131,,,,,,,,,
1-01881-7502,291-R1,9,1,36,1911,59769,1750000,29.3,8149993,136,,,,,,,,,
1-01881-7503,1410-R1,9,1,49,1900,55578,1625000,29.2,7569997,136,,,,,,,,,
1-01882-7501,312-R1,9,1,56,1920,70493,2000000,28.4,8280001,117,,,,,,,,,
1-01882-7502,1588-R1,9,1,55,2005,79805,2900000,36.3,13500006,169,,,,,,,,,
1-01883-7501,532-R1,9,2,135,1930,147648,3650000,24.72,15100000,102,,,,,,,,,
1-01883-7502,718-R1,9,1,71,1990,46573,1350000,29,6629992,142,,,,,,,,,
1-01887-7501,1703-R1,9,1,61,1920,90386,1450000,16.04,4899993,54,,,,,,,,,
1-01888-7501,315-R1,9,1,32,1910,39500,750000,18.99,2799998,71,,,,,,,,,
1-01888-7502,1981-R1,9,1,33,1940,45120,1200000,26.6,4970004,110,,,,,,,,,
1-01888-7503,1773-R1,9,1,76,1920,116255,1750000,15.05,5920000,51,,,,,,,,,
1-01889-7501,872-R1,9,1,106,1928,195971,5000000,25.5,20700001,106,,,,,,,,,
1-01891-7502,2054-R1,9,1,53,1920,132377,2439708,18.43,9120000,69,,,,,,,,,
1-01893-7501,831-R1,9,2,137,1920,165106,4290000,26,17800000,108,,,,,,,,,
1-01893-7502,1917-R1,9,1,67,1922,103749,1750000,16.87,6540000,63,,,,,,,,,
1-01894-7501,497-R1,9,2,151,1926,192853,4800000,24.89,19900000,103,,,,,,,,,
1-01896-7501,202-R1,9,2,46,1911,63300,1460000,23.06,6050000,96,,,,,,,,,
