 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value,,,,,
1-00764-7502,794-R1,0,0,34,1930,19979,639328,32,2980000,149,,,,,,,,,
1-00766-7501,276-R1,0,1,16,1985,19718,769002,39,3780001,192,,,,,,,,,
1-00766-7502,629-R1,0,1,156,1989,141673,4958555,35,23099987,163,,,,,,,,,
1-00766-7503,1176-R1,0,1,11,1910,62304,2367552,38,11000001,177,,,,,,,,,
1-00766-7504,1899-R1,0,1,31,1926,68206,2660034,39,13100000,192,,,,,,,,,
1-00767-7502,943-R1,0,1,32,1907,83519,2255013,27,9340002,112,,,,,,,,,
1-00767-7503,2000-R1,0,1,37,2000,63723,2676366,42,13100001,206,,,,,,,,,
1-00767-7504,1305-R1,0,1,31,2002,52645,2211090,42,10900002,207,,,,,,,,,
1-00768-7501,249-R1,0,1,69,1939,51717,1551510,30,7229993,140,,,,,,,,,
1-00768-7502,479-R1,0,1,109,1962,99750,2992500,30,13900002,139,,,,,,,,,
1-00768-7504,1442-R1,0,1,14,2004,23052,991236,43,4870001,211,,,,,,,,,
1-00769-7503,502-R1,0,2,197,1980,117094,3864102,33,18000000,154,,,,,,,,,
1-00769-7505,1239-R1,0,1,43,1910,82151,2546681,31,11900001,145,,,,,,,,,
1-00769-7506,1269-R1,0,1,12,2002,33378,1435254,43,7049998,211,,,,,,,,,
1-00769-7508,1910-R1,0,1,19,2006,27784,1194712,43,5859999,211,,,,,,,,,
1-00773-7501,1427-R1,0,1,20,2004,36967,1589581,43,7799997,211,,,,,,,,,
1-00773-7502,1476-R1,0,1,12,1900,44800,1747200,39,8580000,192,,,,,,,,,
1-00774-7501,1140-R1,0,1,351,1910,552679,21001802,38,97800013,177,,,,,,,,,
1-00792-7501,157-R1,0,1,48,1918,39792,1100000,27.6,4559997,115,,,,,,,,,
1-00792-7503,467-R1,0,2,14,1906,31650,880000,27.8,3650000,115,,,,,,,,,
1-00792-7504,710-R1,0,2,155,1930,138320,4300000,31.1,20000000,145,,,,,,,,,
1-00793-7501,69-R1,0,1,35,1900,61572,1970000,32,9180001,149,,,,,,,,,
1-00793-7505,1234-R1,0,1,51,2001,111514,4250000,38.1,20900005,187,,,,,,,,,
1-00793-7506,1314-R1,0,1,18,1910,54708,1750000,32,8150002,149,,,,,,,,,
1-00793-7507,1861-R1,0,1,43,2006,67387,3620000,54,17800003,264,,,,,,,,,
1-00793-7508,1921-R1,0,1,38,2008,70840,3800000,54,18700003,264,,,,,,,,,
1-00794-7501,1596-R1,0,1,64,2005,118000,4960000,42,24300004,206,,,,,,,,,
1-00794-7502,1638-R1,0,1,26,2006,45457,2150000,47.3,10599998,233,,,,,,,,,
1-00795-7501,1552-R1,0,1,67,1903,120050,5100000,42.5,24999995,208,,,,,,,,,
1-00795-7502,2031-R1,0,1,35,2008,40339,1165000,28.9,4829999,120,,,,,,,,,
1-00796-7501,393-R1,0,1,45,1987,31800,1180000,37.1,5499998,173,,,,,,,,,
1-00796-7502,781-R1,0,1,28,1875,41294,1300000,31.5,6059998,147,,,,,,,,,
1-00796-7503,1116-R1,0,1,15,1905,32085,1100000,34.3,5119996,160,,,,,,,,,
1-00796-7504,1437-R1,0,1,49,1900,84890,3820000,45,18800004,221,,,,,,,,,
1-00797-7501,1839-R1,0,1,52,2006,77419,3500000,45.2,17199995,222,,,,,,,,,
1-00797-7502,1122-R1,0,1,22,1911,58449,2160000,37,10099998,173,,,,,,,,,
1-00797-7505,1372-R1,0,1,13,2003,37035,1300000,35.1,6060001,164,,,,,,,,,
1-00797-7507,1963-R1,0,1,52,1911,68395,2700000,39.5,13300002,194,,,,,,,,,
1-00798-7502,177-R1,0,1,120,1973,80000,3778800,47.2,18600016,233,,,,,,,,,
1-00798-7503,729-R1,0,1,21,1950,28124,900000,32,4190002,149,,,,,,,,,
1-00798-7505,1845-R1,0,1,33,2006,66937,2900000,43.3,14200000,212,,,,,,,,,
1-00798-7506,1869-R1,0,1,99,2008,112888,4000000,35.4,18599997,165,,,,,,,,,
1-00799-7501,1770-R1,0,1,20,1920,23621,900000,38.1,4420005,187,,,,,,,,,
1-00800-7501,970-R1,0,1,33,1911,75929,3400000,44.8,16699998,220,,,,,,,,,
1-00800-7504,1851-R1,0,1,203,2006,334205,17530000,52,86099994,258,,,,,,,,,
1-00801-7502,1195-R1,0,1,25,1922,48276,1700000,35.2,7920003,164,,,,,,,,,
1-00802-7501,848-R1,0,1,24,1911,70181,2700000,38.5,13300001,190,,,,,,,,,
1-00803-7501,766-R1,0,1,93,1926,94649,4060000,42.9,19900004,210,,,,,,,,,
1-00375-7501,1213-R1,1,1,25,2001,27798,705791,25.4,2920006,105,,,,,,,,,
1-00384-7503,1720-R1,1,1,23,2005,34734,1050700,30.2,4889998,141,,,,,,,,,
1-00385-7501,1618-R1,1,1,47,2005,36472,1604768,44,7880000,216,,,,,,,,,
1-00386-7501,548-R1,1,0,13,1920,18990,436700,23,1809994,95,,,,,,,,,
1-00389-7501,545-R1,1,2,30,1901,20940,502560,24,2080000,99,,,,,,,,,
1-00390-7501,1183-R1,1,1,16,2000,15704,522158,33.3,2430001,155,,,,,,,,,
1-00390-7502,1125-R1,1,2,78,2001,65832,2523720,38.3,12400000,188,,,,,,,,,
1-00392-7501,341-R1,1,1,83,1928,78982,2033786,25.7,8419998,107,,,,,,,,,
1-00393-7501,1138-R1,1,0,35,1999,36046,1108415,30.8,5159994,143,,,,,,,,,
1-00394-7502,1113-R1,1,0,12,2001,15957,482699,30.2,2250000,141,,,,,,,,,
1-00394-7503,1124-R1,1,0,12,2001,11495,387956,33.7,1810001,157,,,,,,,,,
1-00397-7501,489-R1,1,1,21,1920,20038,505959,25.2,2099999,105,,,,,,,,,
1-00397-7502,628-R1,1,1,16,1920,19854,476496,24,1970002,99,,,,,,,,,
1-00398-7501,394-R1,1,0,41,1987,35664,1025340,28.8,4249994,119,,,,,,,,,
1-00399-7501,602-R1,1,2,17,1920,21314,490222,23,2030000,95,,,,,,,,,
1-00405-7503,1104-R1,1,0,12,1999,14376,427686,29.8,1990002,138,,,,,,,,,
1-00405-7504,1447-R1,1,1,26,1965,29906,1039233,34.7,4840000,162,,,,,,,,,
1-00406-7501,852-R1,1,0,24,1900,15021,315440,21,1309999,87,,,,,,,,,
1-00407-7501,338-R1,1,0,18,1920,11033,220660,20,825000,75,,,,,,,,,
1-00407-7502,1081-R1,1,0,18,1999,19119,554451,29,2579997,135,,,,,,,,,
1-00432-7501,714-R1,1,1,32,1991,23605,895000,37.9,4169999,177,,,,,,,,,
1-00432-7502,840-R1,1,2,26,1900,21586,540000,25,2240000,104,,,,,,,,,
1-00434-7501,642-R1,1,1,20,1920,11229,350000,31.2,1630000,145,,,,,,,,,
1-00438-7502,1207-R1,1,1,13,2001,15742,580000,36.8,2700003,172,,,,,,,,,
1-00440-7502,1264-R1,1,1,27,1900,30363,1050000,34.6,4889997,161,,,,,,,,,
1-00440-7503,1503-R1,1,0,13,1900,20099,565000,28.1,2340001,116,,,,,,,,,
1-00441-7501,292-R1,1,1,40,1911,25528,840000,32.9,3909999,153,,,,,,,,,
1-00441-7503,1766-R1,1,1,96,2006,93382,4200000,45,20599999,221,,,,,,,,,
1-00443-7502,1970-R1,1,1,11,2007,14982,530000,35.4,2470001,165,,,,,,,,,
1-00444-7501,271-R1,1,1,20,1900,17225,590000,34.3,2749993,160,,,,,,,,,
1-00446-7501,695-R1,1,2,28,2004,17793,640000,36,2980000,167,,,,,,,,,
1-00446-7502,705-R1,1,2,66,1920,67764,2150000,31.7,10000000,148,,,,,,,,,
1-00447-7501,777-R1,1,2,20,1900,11574,390000,33.7,1820000,157,,,,,,,,,
1-00451-7502,1231-R1,1,1,35,1999,62556,2400000,38.4,11800007,189,,,,,,,,,
1-00459-7502,2025-R1,1,1,14,2007,24778,605000,24.42,2510002,101,,,,,,,,,
1-00462-7501,901-R1,1,2,34,1991,36693,1250000,34.1,5820000,159,,,,,,,,,
1-00463-7501,224-R1,1,1,36,1984,24528,1100000,44.8,5400005,220,,,,,,,,,
1-00464-7501,643-R1,1,1,14,1900,14650,470000,32.1,2190001,149,,,,,,,,,
1-00464-7503,1959-R1,1,1,12,1920,13648,500000,36.6,2330001,171,,,,,,,,,
1-00465-7501,1972-R1,1,0,12,1900,14269,455000,31.9,2119999,149,,,,,,,,,
1-00466-7501,1804-R1,1,2,28,2006,30662,1475000,48.1,7240000,236,,,,,,,,,
1-00468-7501,203-R1,1,2,16,1900,21607,600000,27.8,2490000,115,,,,,,,,,
1-00469-7501,390-R1,1,1,16,1920,12192,430000,35.3,1999999,164,,,,,,,,,
1-00469-7502,493-R1,1,2,155,1964,113930,4285440,37.6,20000000,176,,,,,,,,,
1-00521-7501,630-R1,2,1,18,1988,9514,330611,34.7,1540000,162,,,,,,,,,
1-00522-7501,348-R1,2,1,11,1910,31039,807014,26,3340000,108,,,,,,,,,
1-00525-7501,150-R1,2,2,190,1910,132000,3346200,25.4,13900000,105,,,,,,,,,
1-00525-7502,212-R1,2,1,11,1910,6670,179423,26.9,742998,111,,,,,,,,,
1-00525-7503,646-R1,2,2,54,1958,23688,615888,26,2550000,108,,,,,,,,,
1-00525-7506,1685-R1,2,1,144,1910,85234,2642254,31,12300000,144,,,,,,,,,
1-00529-7502,494-R1,2,1,20,1904,24630,735000,29.8,3420002,139,,,,,,,,,
1-00529-7504,631-R1,2,1,21,1900,41990,1165222,27.7,4829999,115,,,,,,,,,
1-00530-7505,1721-R1,2,1,26,2006,85000,3570000,42,17499997,206,,,,,,,,,
1-00531-7501,70-R1,2,1,56,1912,92500,3237500,35,15099995,163,,,,,,,,,
1-00535-7501,295-R1,2,2,273,1908,290492,9586236,33,44700000,154,,,,,,,,,
1-00540-7501,567-R1,2,2,18,1900,15744,421152,26.8,1740000,111,,,,,,,,,
1-00542-7501,484-R1,2,2,24,1928,17842,477273,26.7,1980000,111,,,,,,,,,
1-00542-7502,644-R1,2,2,40,1900,22777,630000,27.7,2610000,115,,,,,,,,,
1-00544-7501,2004-R1,2,1,25,1920,88353,3401591,38.5,16700000,189,,,,,,,,,
1-00544-7502,1496-R1,2,2,39,2004,116535,4894470,42,24000000,206,,,,,,,,,
1-00545-7503,1341-R1,2,1,50,1930,96566,2703848,28,11199999,116,,,,,,,,,
1-00548-7501,797-R1,2,2,390,1965,445151,15580285,35,72600000,163,,,,,,,,,
1-00552-7501,349-R1,2,1,28,1986,43106,1153085,26.7,4780002,111,,,,,,,,,
1-00552-7504,1660-R1,2,1,28,1966,32116,1082819,33.7,5040003,157,,,,,,,,,
1-00556-7501,330-R1,2,1,11,1905,28385,801876,28.2,3320001,117,,,,,,,,,
1-00557-7501,39-R1,2,2,65,1900,83089,2222630,26.7,9210000,111,,,,,,,,,
1-00558-7501,210-R1,2,1,41,1985,56483,1666248,29.5,7760002,137,,,,,,,,,
1-00558-7502,446-R1,2,1,70,1905,90082,2605171,28.9,12099998,134,,,,,,,,,
1-00558-7503,684-R1,2,1,44,1988,57042,1645662,28.9,6820002,120,,,,,,,,,
1-00559-7501,1742-R1,2,1,84,2006,100500,4422000,44,21700001,216,,,,,,,,,
1-00560-7501,306-R1,2,2,145,1955,136098,3661036,26.9,15200000,112,,,,,,,,,
1-00560-7502,304-R1,2,2,150,1959,160209,4606009,28.8,19100000,119,,,,,,,,,
1-00560-7503,303-R1,2,2,213,1954,140370,3775953,26.9,15600000,111,,,,,,,,,
1-00561-7501,787-R1,2,2,229,1955,209785,5873980,28,24300000,116,,,,,,,,,
1-00563-7501,298-R1,2,1,44,1985,43542,1306260,30,6079998,140,,,,,,,,,
1-00567-7501,1177-R1,2,1,89,1921,81875,3070312,37.5,14300004,175,,,,,,,,,
1-00569-7501,154-R1,2,1,27,1907,66739,1751898,26.2,7260002,109,,,,,,,,,
1-00569-7502,205-R1,2,1,12,1908,28097,737546,26.2,3050000,109,,,,,,,,,
1-00569-7503,248-R1,2,1,37,1910,52493,1496050,28.5,6200001,118,,,,,,,,,
1-00569-7504,1028-R1,2,1,115,1903,60860,1764940,29,8220008,135,,,,,,,,,
1-00571-7501,27-R1,2,2,39,1928,42384,1140130,26.9,4720000,111,,,,,,,,,
1-00571-7505,1694-R1,2,1,20,2006,36330,1743840,48,8560001,236,,,,,,,,,
1-00572-7501,747-R1,2,2,23,1952,13256,367854,27.8,1520000,115,,,,,,,,,
1-00572-7502,1256-R1,2,0,18,1900,14398,446338,31,2079997,144,,,,,,,,,
1-00573-7502,89-R1,2,2,119,1959,94250,2521187,26.7,10400000,110,,,,,,,,,
1-00575-7501,515-R1,2,2,15,1900,9380,253260,27,1050000,112,,,,,,,,,
1-00575-7502,1895-R1,2,1,17,1912,34118,852950,25,3529998,103,,,,,,,,,
1-00576-7501,3-R1,2,1,70,1966,82017,2337484,28.5,9680011,118,,,,,,,,,
1-00576-7502,421-R1,2,1,105,1931,112050,3271860,29.2,15200001,136,,,,,,,,,
1-00576-7503,886-R1,2,2,30,1910,34168,854200,25,3540000,104,,,,,,,,,
1-00577-7502,1180-R1,2,1,77,1906,201330,7197547,35.7,33500005,166,,,,,,,,,
1-00528-7501,426-R1,2,1,32,1986,35225,1091975,31,5090005,144,,,,,,,,,
1-00528-7502,495-R1,2,1,12,1986,15990,479700,30,2230001,139,,,,,,,,,
1-00584-7501,743-R1,2,2,169,1925,100633,2515825,25,10400000,103,,,,,,,,,
1-00587-7501,293-R1,2,0,30,1929,19320,487830,25.3,2020003,105,,,,,,,,,
1-00589-7501,48-R1,2,1,43,1929,66282,1932120,29.1,8999997,136,,,,,,,,,
1-00590-7502,608-R1,2,2,86,1930,89510,2349637,26.2,9730000,109,,,,,,,,,
1-00592-7501,562-R1,2,1,45,1900,21494,585711,27.2,2429998,113,,,,,,,,,
1-00593-7501,663-R1,2,2,30,1910,21738,586926,27,2430000,112,,,,,,,,,
1-00593-7502,1678-R1,2,1,18,1915,44820,1434240,32,6680000,149,,,,,,,,,
1-00601-7501,542-R1,2,1,184,1920,212232,7056714,33.3,32599994,154,,,,,,,,,
1-00602-7501,1368-R1,2,1,142,2002,310000,14027500,45.3,68899996,222,,,,,,,,,
1-00604-7501,79-R1,2,1,83,1920,88227,2712980,30.7,12600000,143,,,,,,,,,
1-00608-7501,487-R1,2,1,214,1961,165160,5950000,36,27700005,168,,,,,,,,,
1-00609-7502,965-R1,2,1,19,1912,58507,1640000,28,6789999,116,,,,,,,,,
1-00610-7501,366-R1,2,1,113,1931,120723,3710000,30.7,17299999,143,,,,,,,,,
1-00612-7501,530-R1,2,1,21,1987,18780,730000,38.9,3580001,191,,,,,,,,,
1-00612-7502,626-R1,2,2,30,1910,19715,635000,32.2,2960000,150,,,,,,,,,
1-00612-7503,698-R1,2,2,25,1905,13997,450000,32.1,2100000,150,,,,,,,,,
1-00612-7504,850-R1,2,1,122,1964,92616,2800000,30.2,12999998,140,,,,,,,,,
1-00616-7501,445-R1,2,2,241,1931,209011,6000000,28.7,24900000,119,,,,,,,,,
1-00618-7501,447-R1,2,1,132,1987,101634,4100000,40.3,20100001,198,,,,,,,,,
1-00618-7504,2051-R1,2,1,30,2008,62138,2270000,36.5,10599931,171,,,,,,,,,
1-00619-7502,746-R1,2,2,29,1910,13177,450000,34.2,2100000,159,,,,,,,,,
1-00620-7501,1087-R1,2,1,22,1998,41506,2000000,48.2,9819999,237,,,,,,,,,
1-00620-7502,1459-R1,2,0,40,1893,22157,745000,33.6,3470003,157,,,,,,,,,
1-00621-7503,1688-R1,2,0,21,1914,13648,525000,38.5,2580000,189,,,,,,,,,
1-00623-7501,776-R1,2,2,60,1920,32638,1140000,34.9,5310000,163,,,,,,,,,
1-00624-7502,106-R1,2,1,15,1983,27448,930000,33.9,4330001,158,,,,,,,,,
1-00624-7503,439-R1,2,1,128,1910,138934,4150000,29.9,19300003,139,,,,,,,,,
1-00624-7504,640-R1,2,2,87,1939,75154,2700000,35.9,12600000,168,,,,,,,,,
1-00625-7501,363-R1,2,1,181,1930,159268,4250000,26.7,17600004,111,,,,,,,,,
1-00629-7501,469-R1,2,1,21,1907,30312,1150000,37.9,5360000,177,,,,,,,,,
1-00629-7502,544-R1,2,1,49,1962,32863,1030000,31.3,4800002,146,,,,,,,,,
1-00629-7503,1057-R1,2,1,47,1920,123881,5200000,42,25499994,206,,,,,,,,,
1-00629-7504,1120-R1,2,1,11,1920,23425,1030000,44,5059997,216,,,,,,,,,
1-00631-7501,18-R1,2,2,20,1910,53943,1550000,28.7,6420000,119,,,,,,,,,
1-00631-7502,376-R1,2,1,77,1987,73176,2700000,36.9,12600001,172,,,,,,,,,
1-00635-7501,158-R1,2,1,24,1930,42407,1600000,37.7,7449999,176,,,,,,,,,
1-00636-7501,1011-R1,2,1,24,1997,38871,1850000,47.6,9079998,234,,,,,,,,,
1-00636-7502,1542-R1,2,1,20,1900,11852,450000,38,2100005,177,,,,,,,,,
1-00637-7501,301-R1,2,1,32,1913,48708,1820000,37.4,8479995,174,,,,,,,,,
1-00637-7502,473-R1,2,1,81,1987,60200,2470000,41,12100003,201,,,,,,,,,
1-00637-7504,1229-R1,2,1,23,2001,88141,4250000,48.2,20900006,237,,,,,,,,,
1-00637-7505,1453-R1,2,1,29,2004,72225,3300000,45.7,16199997,224,,,,,,,,,
1-00638-7501,576-R1,2,1,24,1988,21991,830000,37.7,3870002,176,,,,,,,,,
1-00638-7502,1211-R1,2,1,18,1999,39213,1600000,40.8,7850005,200,,,,,,,,,
1-00641-7501,329-R1,2,1,27,1910,20546,750000,36.5,3490002,170,,,,,,,,,
1-00642-7502,1066-R1,2,1,84,1997,147335,6050000,41.1,29699997,202,,,,,,,,,
1-00643-7501,314-R1,2,0,12,1910,11270,400000,35.5,1860003,165,,,,,,,,,
1-01599-7501,1359-R1,3,1,129,2003,163480,5068000,31,23599994,144,,,,,,,,,
1-01599-7502,1735-R1,3,1,248,2006,395140,12249000,31,57099998,145,,,,,,,,,
1-01600-7501,1073-R1,3,2,240,1999,312016,8736000,28,36200000,116,,,,,,,,,
1-01720-7501,1323-R1,3,1,36,1909,40987,780000,19.03,2919996,71,,,,,,,,,
1-01721-7501,751-R1,3,1,24,1900,27073,500000,18.47,1869999,69,,,,,,,,,
1-01724-7501,1713-R1,3,1,23,2005,32150,750000,23.33,3109998,97,,,,,,,,,
1-01724-7503,1865-R1,3,1,21,1920,24795,300000,12.1,843002,34,,,,,,,,,
1-01727-7501,1578-R1,3,1,77,2005,131237,3850000,29.3,17899996,136,,,,,,,,,
1-01729-7501,846-R1,3,1,34,1898,28408,575000,20.24,2150009,76,,,,,,,,,
1-01729-7503,1530-R1,3,0,12,2004,15230,410000,26.9,1700001,112,,,,,,,,,
1-01745-7501,1382-R1,3,2,92,2003,97592,3000000,30.7,14000000,143,,,,,,,,,
1-01753-7501,1525-R1,3,1,12,2005,12000,455000,37.9,2120004,177,,,,,,,,,
1-01753-7502,1656-R1,3,1,18,2004,15023,570000,37.9,2659996,177,,,,,,,,,
1-01753-7503,1985-R1,3,1,13,2007,24731,900000,36.4,4189999,169,,,,,,,,,
1-01755-7501,1470-R1,3,0,25,2004,40418,1100000,27.2,4559999,113,,,,,,,,,
1-01820-7501,592-R1,3,1,35,1910,36637,769000,20.99,3190000,87,,,,,,,,,
1-01820-7502,1520-R1,3,1,17,1900,22039,661000,30,3079999,140,,,,,,,,,
1-01820-7503,1768-R1,3,1,85,2006,94012,6262000,67,29200014,311,,,,,,,,,
1-01823-7501,807-R1,3,1,54,1915,58429,1052000,18,3930000,67,,,,,,,,,
1-01823-7502,1545-R1,3,1,15,1900,18567,464000,24.99,1920002,103,,,,,,,,,
1-01825-7501,1996-R1,3,1,32,2006,57450,1206450,21,4999999,87,,,,,,,,,
1-01826-7501,591-R1,3,1,35,1911,48636,973000,20.01,3640001,75,,,,,,,,,
1-01826-7502,1662-R1,3,0,24,1900,18540,407880,22,1636235,88,,,,,,,,,
1-01828-7501,749-R1,3,1,14,1900,18448,314000,17.02,1170000,63,,,,,,,,,
1-01828-7502,1332-R1,3,1,13,1920,23700,427000,18.02,1599997,68,,,,,,,,,
1-01828-7503,1540-R1,3,0,13,1900,6866,206000,30,852999,124,,,,,,,,,
1-01828-7505,1684-R1,3,0,14,1900,6846,191688,28,794003,116,,,,,,,,,
1-01829-7501,1440-R1,3,1,33,1900,28560,514080,18,1919991,67,,,,,,,,,
1-01830-7501,1799-R1,3,1,15,2005,20184,807000,40,3960000,196,,,,,,,,,
1-01831-7501,1657-R1,3,0,20,1900,7852,219856,28,911000,116,,,,,,,,,
1-01831-7502,1913-R1,3,1,36,2007,49200,1082400,22,4479997,91,,,,,,,,,
1-01901-7501,1478-R1,3,2,28,2004,52916,1799000,34,8380000,158,,,,,,,,,
1-01901-7501,1478-R2,3,2,23,2004,37719,1282000,34,5970000,158,,,,,,,,,
1-01903-7501,1495-R1,3,1,25,1910,44329,1108000,24.99,4589997,104,,,,,,,,,
1-01908-7502,1699-R1,3,1,21,1906,46991,1175000,25,4870000,104,,,,,,,,,
1-01914-7502,1690-R1,3,1,19,2007,29315,997000,34,4640000,158,,,,,,,,,
1-01917-7501,1926-R1,3,0,11,0,8195,204875,25,849001,104,,,,,,,,,
1-01922-7501,1733-R1,3,1,16,1910,15210,304000,19.99,1139999,75,,,,,,,,,
1-01923-7501,1894-R1,3,1,47,1892,87400,1573000,18,5879995,67,,,,,,,,,
1-01924-7501,1348-R1,3,1,64,2003,63252,1707804,27,7069998,112,,,,,,,,,
1-01924-7502,1488-R1,3,1,74,2003,59844,2035000,34,9480000,158,,,,,,,,,
1-01924-7502,1488-R2,3,1,22,2004,19500,663000,34,3090000,158,,,,,,,,,
1-01930-7501,1712-R1,3,1,11,1910,25230,631000,25,2609999,103,,,,,,,,,
1-01942-7501,887-R1,3,0,32,1994,35082,806886,23,3339993,95,,,,,,,,,
1-01942-7502,1284-R1,3,1,36,1933,38386,768000,20.01,2870001,75,,,,,,,,,
1-01943-7501,793-R1,3,1,41,1900,45436,1000000,22.01,4139998,91,,,,,,,,,
1-01943-7502,1373-R1,3,1,49,1901,66936,1406000,21.01,5820000,87,,,,,,,,,
1-01944-7502,1190-R1,3,0,49,1931,63586,1208134,19,4520001,71,,,,,,,,,
1-01945-7502,1391-R1,3,1,48,2003,108510,3634000,33.5,16900001,156,,,,,,,,,
1-01945-7504,1762-R1,3,1,93,2006,108572,3257000,30,15199997,140,,,,,,,,,
1-01946-7501,1681-R1,3,1,54,2006,67413,2022000,30,9419999,140,,,,,,,,,
1-01947-7501,1289-R1,3,2,74,2003,93600,2808000,30,13100000,140,,,,,,,,,
1-01950-7501,1852-R1,3,1,52,2006,70212,1474452,21,6100000,87,,,,,,,,,
1-01955-7501,1340-R1,3,0,15,1910,23765,475300,20,1779998,75,,,,,,,,,
1-01959-7501,1423-R1,3,1,170,2003,240000,6000000,25,24899999,104,,,,,,,,,
1-01960-7502,899-R1,3,0,28,1994,41964,1426776,34,6649996,158,,,,,,,,,
1-02007-7501,1922-R1,3,1,32,1910,23822,714660,30,3330000,140,,,,,,,,,
1-02023-7503,874-R1,3,0,28,1993,30976,1053184,34,4909998,159,,,,,,,,,
1-02025-7501,1737-R1,3,0,29,1926,30584,703432,23,2910001,95,,,,,,,,,
1-02034-7501,1365-R1,3,2,104,1920,143389,4015000,28,16600000,116,,,,,,,,,
1-02041-7502,900-R1,3,0,28,1994,36188,1230392,34,5729997,158,,,,,,,,,
1-02041-7503,1716-R1,3,1,14,1894,18306,641000,35,2990000,163,,,,,,,,,
1-02041-7504,1919-R1,3,1,20,2006,28879,1010765,35,4710000,163,,,,,,,,,
1-02042-7502,974-R1,3,0,47,1896,76584,1761432,23,7299998,95,,,,,,,,,
1-02044-7501,1422-R1,3,2,128,2003,212047,6361000,30,29600000,140,,,,,,,,,
1-02044-7502,1511-R1,3,1,26,1920,35390,708000,20.01,2650003,75,,,,,,,,,
1-02045-7501,1640-R1,3,1,180,2005,204835,6145000,30,28599996,140,,,,,,,,,
1-02045-7502,1717-R1,3,2,135,2005,164085,4923000,30,22900000,140,,,,,,,,,
1-02045-7503,2049-R1,3,2,134,2007,161156,0,0,8695005,54,,,,,,,,,
1-02051-7501,1327-R1,3,2,77,2001,91858,2756000,30,12800000,139,,,,,,,,,
